Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'56.689,30.088,31.21,27.513,27.878,196.7,116.689,41
2,1'53.344,28.167,30.387,27.095,27.695,351.7,113.344,41
3,1'53.296,27.971,30.643,27.05,27.632,355.2,113.296,41
4,1'53.172,27.931,30.5,27.118,27.623,355.2,113.172,41
5,1'53.125,27.886,30.408,27.105,27.726,352.9,113.125,41
6,1'53.306,27.981,30.573,27.062,27.69,350.6,113.306,41
7,1'53.554,27.79,30.505,27.565,27.694,355.2,113.554,41
8,1'52.990,27.839,30.338,27.098,27.715,354,112.99,41
9,1'53.012,27.724,30.459,27.048,27.781,354,113.012,41
10,1'52.887,27.758,30.361,27.083,27.685,354,112.887,41
11,1'53.228,27.894,30.442,27.125,27.767,352.9,113.228,41
12,1'53.333,27.825,30.468,27.178,27.862,356.4,113.333,41
13,1'53.202,27.904,30.534,27.086,27.678,355.2,113.202,41
14,1'53.340,27.922,30.47,27.134,27.814,354,113.34,41
15,1'53.692,27.895,30.438,27.385,27.974,355.2,113.692,41
16,1'53.328,27.858,30.517,27.144,27.809,352.9,113.328,41
17,1'53.353,27.822,30.542,27.21,27.779,355.2,113.353,41
18,1'53.778,27.925,30.526,27.362,27.965,356.4,113.778,41
19,1'54.265,28.09,30.568,27.567,28.04,352.9,114.265,41
20,1'54.399,28.256,30.681,27.398,28.064,351.7,114.399,41
21,1'54.818,28.539,30.761,27.45,28.068,348.3,114.818,41
