Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'58.285,31.194,31.407,27.635,28.049,222.2,118.285,37
2,1'54.157,28.271,30.974,27.091,27.821,352.9,114.157,37
3,1'53.623,27.999,30.701,27.124,27.799,348.3,113.623,37
4,1'53.816,28.054,30.568,27.261,27.933,348.3,113.816,37
5,1'53.549,28.01,30.697,27.062,27.78,351.7,113.549,37
6,1'54.230,28.097,30.679,27.481,27.973,342.8,114.23,37
7,1'53.214,27.955,30.356,27.071,27.832,350.6,113.214,37
8,1'53.531,27.959,30.567,27.13,27.875,351.7,113.531,37
9,1'53.602,27.973,30.589,27.154,27.886,351.7,113.602,37
10,1'53.541,28.006,30.491,27.131,27.913,354,113.541,37
11,1'53.945,28.263,30.548,27.247,27.887,354,113.945,37
12,1'53.584,27.973,30.472,27.181,27.958,351.7,113.584,37
13,1'53.606,27.95,30.578,27.189,27.889,354,113.606,37
14,1'54.414,28.043,30.571,27.606,28.194,354,114.414,37
15,1'54.952,29.155,30.663,27.253,27.881,350.6,114.952,37
16,1'53.884,28.134,30.582,27.212,27.956,350.6,113.884,37
17,1'54.012,28.096,30.635,27.309,27.972,351.7,114.012,37
18,1'54.448,28.204,30.777,27.413,28.054,348.3,114.448,37
19,1'54.320,28.257,30.623,27.298,28.142,334.3,114.32,37
20,1'54.805,28.162,30.631,27.348,28.664,350.6,114.805,37
21,1'55.457,28.493,30.824,27.539,28.601,348.3,115.457,37
