Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'56.311,30.321,31.067,27.074,27.849,210.5,116.311,73
2,1'52.811,27.835,30.094,27.091,27.791,345,112.811,73
3,1'53.096,27.949,30.366,26.922,27.859,346.1,113.096,73
4,1'52.983,27.854,30.426,26.978,27.725,348.3,112.983,73
5,1'53.228,27.871,30.471,27.154,27.732,349.5,113.228,73
6,1'53.211,27.966,30.418,27.027,27.8,348.3,113.211,73
7,1'52.993,27.86,30.249,27.04,27.844,348.3,112.993,73
8,1'53.273,27.981,30.465,27.003,27.824,348.3,113.273,73
9,1'52.874,27.812,30.31,26.931,27.821,347.2,112.874,73
10,1'52.967,27.89,30.436,26.946,27.695,348.3,112.967,73
11,1'53.101,27.829,30.45,27.073,27.749,347.2,113.101,73
12,1'53.132,27.91,30.357,27.058,27.807,348.3,113.132,73
13,1'53.235,27.872,30.441,27.152,27.77,349.5,113.235,73
14,1'53.353,27.876,30.476,27.137,27.864,349.5,113.353,73
15,1'53.451,27.927,30.455,27.166,27.903,349.5,113.451,73
16,1'53.226,27.948,30.381,27.044,27.853,347.2,113.226,73
17,1'53.250,27.948,30.359,27.123,27.82,348.3,113.25,73
18,1'53.151,27.924,30.353,27.09,27.784,347.2,113.151,73
19,1'53.665,27.994,30.494,27.205,27.972,347.2,113.665,73
20,1'54.314,28.249,30.881,27.236,27.948,347.2,114.314,73
21,1'54.035,28.114,30.654,27.258,28.009,347.2,114.035,73
