Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'56.835,30.515,30.967,27.489,27.864,208.4,116.835,31
2,1'52.657,27.924,30.23,26.843,27.66,357.6,112.657,31
3,1'52.921,27.739,30.579,26.934,27.669,349.5,112.921,31
4,1'52.848,27.87,30.318,26.962,27.698,351.7,112.848,31
5,1'52.873,28.007,30.378,26.88,27.608,355.2,112.873,31
6,1'52.841,28.011,30.342,26.877,27.611,354,112.841,31
7,1'52.770,27.846,30.29,26.899,27.735,355.2,112.77,31
8,1'53.011,27.92,30.466,26.879,27.746,354,113.011,31
9,1'53.153,27.97,30.432,26.962,27.789,349.5,113.153,31
10,1'53.175,28.229,30.241,26.91,27.795,351.7,113.175,31
11,1'53.140,27.931,30.38,27.015,27.814,349.5,113.14,31
12,1'52.980,27.778,30.421,26.998,27.783,356.4,112.98,31
13,1'52.969,27.865,30.331,26.967,27.806,356.4,112.969,31
14,1'54.160,28.133,30.488,27.698,27.841,354,114.16,31
15,1'53.770,27.852,30.469,27.269,28.18,352.9,113.77,31
16,1'54.401,28.465,30.768,27.29,27.878,354,114.401,31
17,1'53.819,27.986,30.532,27.263,28.038,354,113.819,31
18,1'53.938,28.085,30.489,27.34,28.024,351.7,113.938,31
19,1'54.428,27.996,30.65,27.709,28.073,351.7,114.428,31
20,1'54.828,28.409,31.039,27.334,28.046,348.3,114.828,31
21,1'54.947,28.402,30.975,27.392,28.178,354,114.947,31
