id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
538,1,1'59.184,31.587,31.675,27.714,28.208,231.2,119.184,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
539,2,1'53.890,28.088,30.555,27.287,27.96,355.2,113.89,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
540,3,1'53.675,28.136,30.493,27.115,27.931,349.5,113.675,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
541,4,1'53.667,28.061,30.425,27.241,27.94,350.6,113.667,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
542,5,1'53.649,28.053,30.517,27.171,27.908,354,113.649,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
543,6,1'53.966,28.059,30.605,27.225,28.077,352.9,113.966,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
544,7,1'54.085,28.056,30.697,27.266,28.066,354,114.085,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
545,8,1'53.638,28.124,30.461,27.123,27.93,351.7,113.638,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
546,9,1'53.825,27.928,30.677,27.194,28.026,354,113.825,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
547,10,1'53.845,28.082,30.574,27.165,28.024,352.9,113.845,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
548,11,1'53.742,27.933,30.676,27.128,28.005,352.9,113.742,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
549,12,1'53.723,27.941,30.601,27.185,27.996,352.9,113.723,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
550,13,1'54.338,28.004,30.798,27.301,28.235,352.9,114.338,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
551,14,1'54.390,28.209,30.618,27.321,28.242,350.6,114.39,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
552,15,1'54.453,28.287,30.781,27.217,28.168,351.7,114.453,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
553,16,1'56.032,28.282,31.467,27.829,28.454,352.9,116.032,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
554,17,2'10.931,29.268,32.904,28.523,40.236,350.6,130.931,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
