id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
244,1,1'56.689,30.088,31.21,27.513,27.878,196.7,116.689,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
245,2,1'53.344,28.167,30.387,27.095,27.695,351.7,113.344,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
246,3,1'53.296,27.971,30.643,27.05,27.632,355.2,113.296,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
247,4,1'53.172,27.931,30.5,27.118,27.623,355.2,113.172,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
248,5,1'53.125,27.886,30.408,27.105,27.726,352.9,113.125,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
249,6,1'53.306,27.981,30.573,27.062,27.69,350.6,113.306,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
250,7,1'53.554,27.79,30.505,27.565,27.694,355.2,113.554,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
251,8,1'52.990,27.839,30.338,27.098,27.715,354,112.99,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
252,9,1'53.012,27.724,30.459,27.048,27.781,354,113.012,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
253,10,1'52.887,27.758,30.361,27.083,27.685,354,112.887,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
254,11,1'53.228,27.894,30.442,27.125,27.767,352.9,113.228,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
255,12,1'53.333,27.825,30.468,27.178,27.862,356.4,113.333,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
256,13,1'53.202,27.904,30.534,27.086,27.678,355.2,113.202,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
257,14,1'53.340,27.922,30.47,27.134,27.814,354,113.34,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
258,15,1'53.692,27.895,30.438,27.385,27.974,355.2,113.692,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
259,16,1'53.328,27.858,30.517,27.144,27.809,352.9,113.328,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
260,17,1'53.353,27.822,30.542,27.21,27.779,355.2,113.353,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
261,18,1'53.778,27.925,30.526,27.362,27.965,356.4,113.778,41,41,Aleix,Espargaro,Granollers,41.60796,2.2876,Aprilia,Aprilia GP24
