Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'54.967,29.522,30.419,27.155,27.871,207.2,114.967,1
2,1'53.169,27.896,30.377,27.144,27.752,342.8,113.169,1
3,1'53.170,28.027,30.247,27.142,27.754,340.6,113.17,1
4,1'52.956,27.905,30.274,27.126,27.651,341.7,112.956,1
5,1'52.812,27.851,30.213,27.07,27.678,342.8,112.812,1
6,1'52.832,27.918,30.268,27.055,27.591,342.8,112.832,1
7,1'52.779,27.843,30.203,27.063,27.67,345,112.779,1
8,1'53.009,27.9,30.27,27.121,27.718,346.1,113.009,1
9,1'52.667,27.848,30.181,27.004,27.634,345,112.667,1
10,1'52.967,27.782,30.295,27.121,27.769,346.1,112.967,1
11,1'52.996,27.851,30.27,27.139,27.736,347.2,112.996,1
12,1'52.871,27.839,30.268,27.102,27.662,347.2,112.871,1
13,1'53.163,27.91,30.429,27.119,27.705,346.1,113.163,1
14,1'52.793,27.774,30.231,27.136,27.652,347.2,112.793,1
15,1'53.051,27.879,30.319,27.187,27.666,347.2,113.051,1
16,1'53.057,27.896,30.315,27.209,27.637,346.1,113.057,1
17,1'53.137,27.845,30.376,27.246,27.67,346.1,113.137,1
18,1'53.100,27.916,30.39,27.145,27.649,346.1,113.1,1
19,1'52.893,27.844,30.262,27.102,27.685,346.1,112.893,1
20,1'53.153,27.852,30.309,27.191,27.801,346.1,113.153,1
21,1'53.327,27.875,30.35,27.268,27.834,346.1,113.327,1
