Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'55.681,29.825,31.056,27.042,27.758,202.2,115.681,23
2,1'53.334,27.893,30.481,27.207,27.753,352.9,113.334,23
3,1'53.481,27.924,30.646,27.08,27.831,350.6,113.481,23
4,1'53.344,28.019,30.561,26.986,27.778,346.1,113.344,23
5,1'53.157,27.889,30.448,27.058,27.762,356.4,113.157,23
6,1'53.313,27.9,30.511,27.119,27.783,354,113.313,23
7,1'52.890,27.868,30.406,26.957,27.659,355.2,112.89,23
8,1'53.034,27.773,30.543,27.032,27.686,356.4,113.034,23
9,1'53.100,27.889,30.448,27.044,27.719,351.7,113.1,23
10,1'53.073,27.864,30.46,27.079,27.67,354,113.073,23
11,1'52.931,27.839,30.405,26.99,27.697,355.2,112.931,23
12,1'53.139,27.849,30.463,27.094,27.733,356.4,113.139,23
13,1'53.266,27.885,30.535,27.095,27.751,355.2,113.266,23
14,1'53.163,27.823,30.503,27.182,27.655,357.6,113.163,23
15,1'53.286,27.89,30.473,27.034,27.889,352.9,113.286,23
16,1'53.303,27.992,30.516,27.1,27.695,354,113.303,23
17,1'53.435,27.912,30.538,27.087,27.898,354,113.435,23
18,1'53.175,27.898,30.494,27.034,27.749,352.9,113.175,23
19,1'53.342,27.859,30.536,27.116,27.831,351.7,113.342,23
20,1'53.448,28.011,30.578,27.212,27.647,355.2,113.448,23
21,1'53.127,27.817,30.385,27.124,27.801,350.6,113.127,23
