"first_name","last_name","driver_num","min"
"Jorge","Martin",89,"27.656"
"Aleix","Espargaro",41,"27.724"
"Marc","Marquez",93,"27.739"
"Pedro","Acosta",31,"27.739"
"Brad","Binder",33,"27.743"
"Enea ","Bastianini",23,"27.773"
"Francesco","Bagnaia",1,"27.774"
"Miguel","Oliveira",88,"27.793"
"Fabio","Di Giannantonio",49,"27.794"
"Alex
","Marquez",73,"27.812"
"Marco","Bezzecchi",72,"27.837"
"Maverick","Vinales",12,"27.855"
"Johann","Zarco",5,"27.885"
"Fabio","Quartararo",20,"27.895"
"Franco","Morbidelli",21,"27.927"
"Raul","Fernandez",25,"27.928"
"Alex","Rins",42,"27.941"
"Augusto","Fernandez",37,"27.95"
"Takkaki","Nakagami",30,"27.953"
"Joan","Mir",36,"27.959"
"Jack","Miller",43,"27.963"
"Luca","Marini",10,"28.042"
