"first_name","last_name","driver_num","min"
"Brad","Binder",33,"27.572"
"Francesco","Bagnaia",1,"27.591"
"Pedro","Acosta",31,"27.608"
"Marc","Marquez",93,"27.617"
"Jorge","Martin",89,"27.621"
"Aleix","Espargaro",41,"27.623"
"Enea ","Bastianini",23,"27.647"
"Alex
","Marquez",73,"27.695"
"Fabio","Di Giannantonio",49,"27.712"
"Maverick","Vinales",12,"27.715"
"Fabio","Quartararo",20,"27.751"
"Alex","Rins",42,"27.752"
"Augusto","Fernandez",37,"27.78"
"Luca","Marini",10,"27.795"
"Miguel","Oliveira",88,"27.831"
"Johann","Zarco",5,"27.838"
"Joan","Mir",36,"27.842"
"Takkaki","Nakagami",30,"27.849"
"Marco","Bezzecchi",72,"27.851"
"Franco","Morbidelli",21,"27.853"
"Raul","Fernandez",25,"27.908"
"Jack","Miller",43,"27.99"
