"first_name","last_name","driver_num","min"
"Pedro","Acosta",31,"112.657"
"Francesco","Bagnaia",1,"112.667"
"Brad","Binder",33,"112.729"
"Jorge","Martin",89,"112.742"
"Marc","Marquez",93,"112.773"
"Alex
","Marquez",73,"112.811"
"Aleix","Espargaro",41,"112.887"
"Enea ","Bastianini",23,"112.89"
"Fabio","Di Giannantonio",49,"112.909"
"Maverick","Vinales",12,"112.932"
"Augusto","Fernandez",37,"113.214"
"Alex","Rins",42,"113.27"
"Marco","Bezzecchi",72,"113.342"
"Miguel","Oliveira",88,"113.401"
"Johann","Zarco",5,"113.41"
"Joan","Mir",36,"113.457"
"Fabio","Quartararo",20,"113.468"
"Franco","Morbidelli",21,"113.63"
"Raul","Fernandez",25,"113.638"
"Takkaki","Nakagami",30,"113.704"
"Jack","Miller",43,"113.927"
"Luca","Marini",10,"114.306"
