"first_name","last_name","driver_num","min"
"Pedro","Acosta",31,"26.843"
"Marc","Marquez",93,"26.856"
"Alex
","Marquez",73,"26.922"
"Enea ","Bastianini",23,"26.957"
"Jorge","Martin",89,"26.994"
"Maverick","Vinales",12,"27.004"
"Francesco","Bagnaia",1,"27.004"
"Fabio","Di Giannantonio",49,"27.008"
"Marco","Bezzecchi",72,"27.023"
"Brad","Binder",33,"27.03"
"Aleix","Espargaro",41,"27.048"
"Alex","Rins",42,"27.053"
"Augusto","Fernandez",37,"27.062"
"Raul","Fernandez",25,"27.115"
"Joan","Mir",36,"27.15"
"Franco","Morbidelli",21,"27.182"
"Fabio","Quartararo",20,"27.182"
"Johann","Zarco",5,"27.202"
"Jack","Miller",43,"27.221"
"Miguel","Oliveira",88,"27.227"
"Takkaki","Nakagami",30,"27.294"
"Luca","Marini",10,"27.335"
