Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'58.432,30.718,31.8,27.836,28.078,218.6,118.432,72
2,1'53.517,28.16,30.439,27.023,27.895,354,113.517,72
3,1'53.539,27.837,30.496,27.186,28.02,356.4,113.539,72
4,1'53.817,27.955,30.648,27.18,28.034,352.9,113.817,72
5,1'53.740,27.979,30.51,27.234,28.017,354,113.74,72
6,1'54.809,28.247,30.825,27.481,28.256,351.7,114.809,72
7,1'53.659,27.966,30.486,27.221,27.986,352.9,113.659,72
8,1'53.547,27.88,30.4,27.297,27.97,352.9,113.547,72
9,1'53.584,27.933,30.492,27.144,28.015,355.2,113.584,72
10,1'53.546,27.9,30.52,27.163,27.963,355.2,113.546,72
11,1'53.699,28.1,30.53,27.201,27.868,354,113.699,72
12,1'53.590,27.953,30.444,27.209,27.984,354,113.59,72
13,1'53.546,27.933,30.472,27.229,27.912,354,113.546,72
14,1'54.195,27.941,30.687,27.409,28.158,356.4,114.195,72
15,1'54.372,28.313,30.953,27.244,27.862,356.4,114.372,72
16,1'53.773,28.084,30.558,27.23,27.901,351.7,113.773,72
17,1'53.342,27.955,30.38,27.156,27.851,351.7,113.342,72
18,1'54.131,27.89,30.452,27.502,28.287,354,114.131,72
19,1'53.354,27.965,30.403,27.114,27.872,354,113.354,72
20,1'53.874,27.955,30.597,27.34,27.982,354,113.874,72
21,1'53.997,27.908,30.614,27.347,28.128,352.9,113.997,72
