Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'55.246,29.622,30.753,27.199,27.672,202.2,115.246,33
2,1'53.053,27.832,30.437,27.192,27.592,356.4,113.053,33
3,1'53.290,28.101,30.31,27.161,27.718,351.7,113.29,33
4,1'53.044,27.891,30.321,27.227,27.605,351.7,113.044,33
5,1'52.926,27.959,30.363,27.032,27.572,352.9,112.926,33
6,1'53.025,27.929,30.242,27.175,27.679,352.9,113.025,33
7,1'52.729,27.743,30.285,27.113,27.588,352.9,112.729,33
8,1'52.772,27.767,30.217,27.038,27.75,356.4,112.772,33
9,1'53.314,27.795,30.291,27.335,27.893,351.7,113.314,33
10,1'53.038,28.024,30.384,27.03,27.6,348.3,113.038,33
11,1'52.985,27.966,30.227,27.068,27.724,354,112.985,33
12,1'52.960,27.834,30.237,27.179,27.71,349.5,112.96,33
13,1'52.915,27.795,30.273,27.073,27.774,351.7,112.915,33
14,1'52.805,27.762,30.252,27.045,27.746,350.6,112.805,33
15,1'53.052,27.874,30.286,27.161,27.731,350.6,113.052,33
16,1'53.148,27.895,30.334,27.15,27.769,350.6,113.148,33
17,1'53.200,27.831,30.428,27.178,27.763,350.6,113.2,33
18,1'52.959,27.877,30.292,27.059,27.731,351.7,112.959,33
19,1'53.032,27.85,30.322,27.076,27.784,349.5,113.032,33
20,1'53.559,27.944,30.428,27.258,27.929,350.6,113.559,33
21,1'53.146,27.85,30.358,27.102,27.836,349.5,113.146,33
