Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'56.274,30.195,30.998,27.157,27.924,204.5,116.274,49
2,1'53.315,28.069,30.374,27.028,27.844,346.1,113.315,49
3,1'53.212,27.944,30.492,27.008,27.768,345,113.212,49
4,1'53.236,27.921,30.549,27.054,27.712,352.9,113.236,49
5,1'53.249,27.912,30.401,27.122,27.814,352.9,113.249,49
6,1'53.467,27.888,30.544,27.221,27.814,350.6,113.467,49
7,1'52.909,27.794,30.361,27.023,27.731,355.2,112.909,49
8,1'53.026,27.804,30.429,27.061,27.732,354,113.026,49
9,1'53.101,27.865,30.43,27.078,27.728,351.7,113.101,49
10,1'53.172,27.831,30.404,27.118,27.819,354,113.172,49
11,1'53.263,27.903,30.509,27.086,27.765,350.6,113.263,49
12,1'53.328,27.968,30.403,27.137,27.82,351.7,113.328,49
13,1'53.206,27.831,30.437,27.159,27.779,352.9,113.206,49
14,1'53.357,27.961,30.394,27.16,27.842,351.7,113.357,49
15,1'53.514,27.909,30.509,27.27,27.826,351.7,113.514,49
16,1'53.296,27.868,30.447,27.096,27.885,350.6,113.296,49
17,1'53.579,27.971,30.576,27.062,27.97,351.7,113.579,49
18,1'53.877,27.958,30.59,27.371,27.958,350.6,113.877,49
19,1'53.990,27.972,30.682,27.389,27.947,347.2,113.99,49
20,1'53.585,28.141,30.486,27.126,27.832,348.3,113.585,49
21,1'54.074,28.1,30.696,27.324,27.954,348.3,114.074,49
