id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
1,1,1'54.967,29.522,30.419,27.155,27.871,207.2,114.967,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
2,2,1'53.169,27.896,30.377,27.144,27.752,342.8,113.169,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
3,3,1'53.170,28.027,30.247,27.142,27.754,340.6,113.17,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
4,4,1'52.956,27.905,30.274,27.126,27.651,341.7,112.956,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
5,5,1'52.812,27.851,30.213,27.07,27.678,342.8,112.812,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
6,6,1'52.832,27.918,30.268,27.055,27.591,342.8,112.832,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
7,7,1'52.779,27.843,30.203,27.063,27.67,345,112.779,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
8,8,1'53.009,27.9,30.27,27.121,27.718,346.1,113.009,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
9,9,1'52.667,27.848,30.181,27.004,27.634,345,112.667,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
10,10,1'52.967,27.782,30.295,27.121,27.769,346.1,112.967,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
11,11,1'52.996,27.851,30.27,27.139,27.736,347.2,112.996,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
12,12,1'52.871,27.839,30.268,27.102,27.662,347.2,112.871,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
13,13,1'53.163,27.91,30.429,27.119,27.705,346.1,113.163,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
14,14,1'52.793,27.774,30.231,27.136,27.652,347.2,112.793,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
15,15,1'53.051,27.879,30.319,27.187,27.666,347.2,113.051,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
16,16,1'53.057,27.896,30.315,27.209,27.637,346.1,113.057,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
17,17,1'53.137,27.845,30.376,27.246,27.67,346.1,113.137,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
18,18,1'53.100,27.916,30.39,27.145,27.649,346.1,113.1,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
19,19,1'52.893,27.844,30.262,27.102,27.685,346.1,112.893,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
20,20,1'53.153,27.852,30.309,27.191,27.801,346.1,113.153,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
21,21,1'53.327,27.875,30.35,27.268,27.834,346.1,113.327,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
106,1,1'55.152,29.496,30.705,27.235,27.716,199.6,115.152,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
107,2,1'53.333,28.121,30.411,27.18,27.621,349.5,113.333,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
108,3,1'53.290,28.005,30.389,27.075,27.821,349.5,113.29,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
109,4,1'52.814,27.826,30.335,26.994,27.659,350.6,112.814,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
110,5,1'52.917,27.852,30.247,27.104,27.714,349.5,112.917,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
111,6,1'52.922,27.743,30.363,27.153,27.663,348.3,112.922,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
112,7,1'52.805,27.684,30.27,27.153,27.698,347.2,112.805,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
113,8,1'53.128,27.916,30.43,27.029,27.753,350.6,113.128,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
114,9,1'53.118,27.748,30.393,27.181,27.796,349.5,113.118,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
115,10,1'52.898,27.724,30.3,27.14,27.734,354,112.898,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
116,11,1'53.385,28.155,30.412,27.134,27.684,347.2,113.385,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
117,12,1'53.182,27.8,30.371,27.17,27.841,352.9,113.182,89,89,Jorge,Martin,Madrid,40.4167,-3.70358,Pramac,Ducati GP24
