id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
1,1,1'54.967,29.522,30.419,27.155,27.871,207.2,114.967,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
2,2,1'53.169,27.896,30.377,27.144,27.752,342.8,113.169,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
3,3,1'53.170,28.027,30.247,27.142,27.754,340.6,113.17,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
4,4,1'52.956,27.905,30.274,27.126,27.651,341.7,112.956,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
5,5,1'52.812,27.851,30.213,27.07,27.678,342.8,112.812,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
6,6,1'52.832,27.918,30.268,27.055,27.591,342.8,112.832,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
7,7,1'52.779,27.843,30.203,27.063,27.67,345,112.779,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
8,8,1'53.009,27.9,30.27,27.121,27.718,346.1,113.009,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
9,9,1'52.667,27.848,30.181,27.004,27.634,345,112.667,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
10,10,1'52.967,27.782,30.295,27.121,27.769,346.1,112.967,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
11,11,1'52.996,27.851,30.27,27.139,27.736,347.2,112.996,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
12,12,1'52.871,27.839,30.268,27.102,27.662,347.2,112.871,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
13,13,1'53.163,27.91,30.429,27.119,27.705,346.1,113.163,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
14,14,1'52.793,27.774,30.231,27.136,27.652,347.2,112.793,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
15,15,1'53.051,27.879,30.319,27.187,27.666,347.2,113.051,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
16,16,1'53.057,27.896,30.315,27.209,27.637,346.1,113.057,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
17,17,1'53.137,27.845,30.376,27.246,27.67,346.1,113.137,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
18,18,1'53.100,27.916,30.39,27.145,27.649,346.1,113.1,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
19,19,1'52.893,27.844,30.262,27.102,27.685,346.1,112.893,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
20,20,1'53.153,27.852,30.309,27.191,27.801,346.1,113.153,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
21,21,1'53.327,27.875,30.35,27.268,27.834,346.1,113.327,1,1,Francesco,Bagnaia,Torino,45.07049,7.68682,Ducati,Ducati GP24
181,1,1'55.681,29.825,31.056,27.042,27.758,202.2,115.681,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
182,2,1'53.334,27.893,30.481,27.207,27.753,352.9,113.334,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
183,3,1'53.481,27.924,30.646,27.08,27.831,350.6,113.481,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
184,4,1'53.344,28.019,30.561,26.986,27.778,346.1,113.344,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
185,5,1'53.157,27.889,30.448,27.058,27.762,356.4,113.157,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
186,6,1'53.313,27.9,30.511,27.119,27.783,354,113.313,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
187,7,1'52.890,27.868,30.406,26.957,27.659,355.2,112.89,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
188,8,1'53.034,27.773,30.543,27.032,27.686,356.4,113.034,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
189,9,1'53.100,27.889,30.448,27.044,27.719,351.7,113.1,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
190,10,1'53.073,27.864,30.46,27.079,27.67,354,113.073,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
191,11,1'52.931,27.839,30.405,26.99,27.697,355.2,112.931,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
192,12,1'53.139,27.849,30.463,27.094,27.733,356.4,113.139,23,23,Enea ,Bastianini,Rimini,44.05939,12.56844,Ducati,Ducati GP24
