id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
144,18,1'52.895,27.822,30.451,26.897,27.725,351.7,112.895,93,93,Marc,Marquez
39,18,1'52.959,27.877,30.292,27.059,27.731,351.7,112.959,33,33,Brad,Binder
123,18,1'53.082,27.742,30.38,27.17,27.79,351.7,113.082,89,89,Jorge,Martin
18,18,1'53.100,27.916,30.39,27.145,27.649,346.1,113.1,1,1,Francesco,Bagnaia
219,18,1'53.151,27.924,30.353,27.09,27.784,347.2,113.151,73,73,"Alex
",Marquez
198,18,1'53.175,27.898,30.494,27.034,27.749,352.9,113.175,23,23,Enea ,Bastianini
261,18,1'53.778,27.925,30.526,27.362,27.965,356.4,113.778,41,41,Aleix,Espargaro
345,18,1'53.807,27.994,30.563,27.398,27.852,351.7,113.807,5,5,Johann,Zarco
408,18,1'53.834,27.989,30.629,27.385,27.831,351.7,113.834,88,88,Miguel,Oliveira
240,18,1'53.877,27.958,30.59,27.371,27.958,350.6,113.877,49,49,Fabio,Di Giannantonio
282,18,1'53.938,28.085,30.489,27.34,28.024,351.7,113.938,31,31,Pedro,Acosta
366,18,1'53.938,28.079,30.423,27.426,28.01,346.1,113.938,36,36,Joan,Mir
324,18,1'53.992,28.158,30.516,27.384,27.934,351.7,113.992,20,20,Fabio,Quartararo
471,18,1'54.056,28.083,30.63,27.408,27.935,346.1,114.056,21,21,Franco,Morbidelli
492,18,1'54.060,28.159,30.597,27.388,27.916,347.2,114.06,30,30,Takkaki,Nakagami
303,18,1'54.074,28.142,30.694,27.294,27.944,348.3,114.074,12,12,Maverick,Vinales
387,18,1'54.131,27.89,30.452,27.502,28.287,354,114.131,72,72,Marco,Bezzecchi
450,18,1'54.448,28.204,30.777,27.413,28.054,348.3,114.448,37,37,Augusto,Fernandez
513,18,1'54.772,28.118,30.721,27.691,28.242,347.2,114.772,10,10,Luca,Marini
534,18,1'55.124,28.171,30.722,27.729,28.502,347.2,115.124,43,43,Jack,Miller
429,18,1'55.268,27.961,31.009,27.45,28.848,354,115.268,42,42,Alex,Rins
