id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
29,8,1'52.772,27.767,30.217,27.038,27.75,356.4,112.772,33,33,Brad,Binder
134,8,1'52.942,27.786,30.411,26.968,27.777,351.7,112.942,93,93,Marc,Marquez
251,8,1'52.990,27.839,30.338,27.098,27.715,354,112.99,41,41,Aleix,Espargaro
8,8,1'53.009,27.9,30.27,27.121,27.718,346.1,113.009,1,1,Francesco,Bagnaia
272,8,1'53.011,27.92,30.466,26.879,27.746,354,113.011,31,31,Pedro,Acosta
230,8,1'53.026,27.804,30.429,27.061,27.732,354,113.026,49,49,Fabio,Di Giannantonio
188,8,1'53.034,27.773,30.543,27.032,27.686,356.4,113.034,23,23,Enea ,Bastianini
293,8,1'53.056,27.91,30.334,27.054,27.758,345,113.056,12,12,Maverick,Vinales
113,8,1'53.128,27.916,30.43,27.029,27.753,350.6,113.128,89,89,Jorge,Martin
209,8,1'53.273,27.981,30.465,27.003,27.824,348.3,113.273,73,73,"Alex
",Marquez
440,8,1'53.531,27.959,30.567,27.13,27.875,351.7,113.531,37,37,Augusto,Fernandez
377,8,1'53.547,27.88,30.4,27.297,27.97,352.9,113.547,72,72,Marco,Bezzecchi
545,8,1'53.638,28.124,30.461,27.123,27.93,351.7,113.638,25,25,Raul,Fernandez
335,8,1'53.713,28.073,30.39,27.202,28.048,341.7,113.713,5,5,Johann,Zarco
398,8,1'53.729,27.952,30.591,27.315,27.871,351.7,113.729,88,88,Miguel,Oliveira
419,8,1'53.743,28.083,30.49,27.192,27.978,352.9,113.743,42,42,Alex,Rins
461,8,1'53.893,27.978,30.612,27.302,28.001,349.5,113.893,21,21,Franco,Morbidelli
482,8,1'53.895,28.083,30.502,27.393,27.917,348.3,113.895,30,30,Takkaki,Nakagami
356,8,1'53.939,28.037,30.633,27.251,28.018,352.9,113.939,36,36,Joan,Mir
314,8,1'54.010,28.315,30.569,27.233,27.893,333.3,114.01,20,20,Fabio,Quartararo
524,8,1'54.127,27.963,30.682,27.427,28.055,348.3,114.127,43,43,Jack,Miller
503,8,1'55.033,28.287,30.86,27.744,28.142,342.8,115.033,10,10,Luca,Marini
