id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
191,11,1'52.931,27.839,30.405,26.99,27.697,355.2,112.931,23,23,Enea ,Bastianini
296,11,1'52.932,27.939,30.249,27.004,27.74,347.2,112.932,12,12,Maverick,Vinales
32,11,1'52.985,27.966,30.227,27.068,27.724,354,112.985,33,33,Brad,Binder
11,11,1'52.996,27.851,30.27,27.139,27.736,347.2,112.996,1,1,Francesco,Bagnaia
212,11,1'53.101,27.829,30.45,27.073,27.749,347.2,113.101,73,73,"Alex
",Marquez
275,11,1'53.140,27.931,30.38,27.015,27.814,349.5,113.14,31,31,Pedro,Acosta
254,11,1'53.228,27.894,30.442,27.125,27.767,352.9,113.228,41,41,Aleix,Espargaro
233,11,1'53.263,27.903,30.509,27.086,27.765,350.6,113.263,49,49,Fabio,Di Giannantonio
137,11,1'53.337,27.919,30.519,27.039,27.86,349.5,113.337,93,93,Marc,Marquez
116,11,1'53.385,28.155,30.412,27.134,27.684,347.2,113.385,89,89,Jorge,Martin
422,11,1'53.598,27.951,30.53,27.176,27.941,352.9,113.598,42,42,Alex,Rins
359,11,1'53.630,27.959,30.456,27.339,27.876,349.5,113.63,36,36,Joan,Mir
401,11,1'53.635,27.92,30.583,27.281,27.851,350.6,113.635,88,88,Miguel,Oliveira
464,11,1'53.666,27.927,30.517,27.223,27.999,349.5,113.666,21,21,Franco,Morbidelli
380,11,1'53.699,28.1,30.53,27.201,27.868,354,113.699,72,72,Marco,Bezzecchi
485,11,1'53.704,27.953,30.54,27.323,27.888,348.3,113.704,30,30,Takkaki,Nakagami
548,11,1'53.742,27.933,30.676,27.128,28.005,352.9,113.742,25,25,Raul,Fernandez
338,11,1'53.885,28.131,30.564,27.251,27.939,332.3,113.885,5,5,Johann,Zarco
317,11,1'53.915,27.981,30.546,27.357,28.031,349.5,113.915,20,20,Fabio,Quartararo
443,11,1'53.945,28.263,30.548,27.247,27.887,354,113.945,37,37,Augusto,Fernandez
506,11,1'54.450,28.059,30.662,27.514,28.215,350.6,114.45,10,10,Luca,Marini
527,11,1'54.454,28.044,30.641,27.562,28.207,348.3,114.454,43,43,Jack,Miller
