id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
141,15,1'52.983,27.782,30.371,27.024,27.806,352.9,112.983,93,93,Marc,Marquez
15,15,1'53.051,27.879,30.319,27.187,27.666,347.2,113.051,1,1,Francesco,Bagnaia
36,15,1'53.052,27.874,30.286,27.161,27.731,350.6,113.052,33,33,Brad,Binder
120,15,1'53.075,27.739,30.394,27.234,27.708,351.7,113.075,89,89,Jorge,Martin
195,15,1'53.286,27.89,30.473,27.034,27.889,352.9,113.286,23,23,Enea ,Bastianini
300,15,1'53.362,27.969,30.389,27.129,27.875,348.3,113.362,12,12,Maverick,Vinales
216,15,1'53.451,27.927,30.455,27.166,27.903,349.5,113.451,73,73,"Alex
",Marquez
237,15,1'53.514,27.909,30.509,27.27,27.826,351.7,113.514,49,49,Fabio,Di Giannantonio
363,15,1'53.688,27.989,30.569,27.278,27.852,355.2,113.688,36,36,Joan,Mir
258,15,1'53.692,27.895,30.438,27.385,27.974,355.2,113.692,41,41,Aleix,Espargaro
405,15,1'53.714,27.868,30.585,27.295,27.966,354,113.714,88,88,Miguel,Oliveira
279,15,1'53.770,27.852,30.469,27.269,28.18,352.9,113.77,31,31,Pedro,Acosta
426,15,1'53.776,27.993,30.553,27.291,27.939,351.7,113.776,42,42,Alex,Rins
342,15,1'53.876,28.011,30.556,27.251,28.058,350.6,113.876,5,5,Johann,Zarco
489,15,1'54.052,27.976,30.691,27.487,27.898,347.2,114.052,30,30,Takkaki,Nakagami
321,15,1'54.097,27.967,30.501,27.69,27.939,348.3,114.097,20,20,Fabio,Quartararo
468,15,1'54.134,28.001,30.855,27.281,27.997,350.6,114.134,21,21,Franco,Morbidelli
531,15,1'54.303,28.032,30.633,27.552,28.086,347.2,114.303,43,43,Jack,Miller
510,15,1'54.338,28.202,30.618,27.506,28.012,340.6,114.338,10,10,Luca,Marini
384,15,1'54.372,28.313,30.953,27.244,27.862,356.4,114.372,72,72,Marco,Bezzecchi
552,15,1'54.453,28.287,30.781,27.217,28.168,351.7,114.453,25,25,Raul,Fernandez
447,15,1'54.952,29.155,30.663,27.253,27.881,350.6,114.952,37,37,Augusto,Fernandez
