id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
5,5,1'52.812,27.851,30.213,27.07,27.678,342.8,112.812,1,1,Francesco,Bagnaia
269,5,1'52.873,28.007,30.378,26.88,27.608,355.2,112.873,31,31,Pedro,Acosta
110,5,1'52.917,27.852,30.247,27.104,27.714,349.5,112.917,89,89,Jorge,Martin
26,5,1'52.926,27.959,30.363,27.032,27.572,352.9,112.926,33,33,Brad,Binder
131,5,1'53.102,27.931,30.464,26.937,27.77,355.2,113.102,93,93,Marc,Marquez
248,5,1'53.125,27.886,30.408,27.105,27.726,352.9,113.125,41,41,Aleix,Espargaro
185,5,1'53.157,27.889,30.448,27.058,27.762,356.4,113.157,23,23,Enea ,Bastianini
206,5,1'53.228,27.871,30.471,27.154,27.732,349.5,113.228,73,73,"Alex
",Marquez
227,5,1'53.249,27.912,30.401,27.122,27.814,352.9,113.249,49,49,Fabio,Di Giannantonio
290,5,1'53.284,28.006,30.397,27.03,27.851,351.7,113.284,12,12,Maverick,Vinales
416,5,1'53.455,28.097,30.471,27.053,27.834,348.3,113.455,42,42,Alex,Rins
311,5,1'53.539,27.895,30.47,27.265,27.909,350.6,113.539,20,20,Fabio,Quartararo
437,5,1'53.549,28.01,30.697,27.062,27.78,351.7,113.549,37,37,Augusto,Fernandez
542,5,1'53.649,28.053,30.517,27.171,27.908,354,113.649,25,25,Raul,Fernandez
332,5,1'53.736,28.062,30.454,27.34,27.88,349.5,113.736,5,5,Johann,Zarco
374,5,1'53.740,27.979,30.51,27.234,28.017,354,113.74,72,72,Marco,Bezzecchi
353,5,1'53.967,28.069,30.472,27.335,28.091,351.7,113.967,36,36,Joan,Mir
521,5,1'54.056,27.987,30.493,27.534,28.042,348.3,114.056,43,43,Jack,Miller
458,5,1'54.143,28.418,30.545,27.242,27.938,350.6,114.143,21,21,Franco,Morbidelli
479,5,1'54.254,28.138,30.682,27.457,27.977,348.3,114.254,30,30,Takkaki,Nakagami
500,5,1'55.072,28.368,30.873,27.752,28.079,343.9,115.072,10,10,Luca,Marini
395,5,1'56.511,27.949,33.042,27.528,27.992,350.6,116.511,88,88,Miguel,Oliveira
