id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
1,1,1'54.967,29.522,30.419,27.155,27.871,207.2,114.967,1,1,Francesco,Bagnaia
106,1,1'55.152,29.496,30.705,27.235,27.716,199.6,115.152,89,89,Jorge,Martin
22,1,1'55.246,29.622,30.753,27.199,27.672,202.2,115.246,33,33,Brad,Binder
127,1,1'55.378,29.873,30.739,27.117,27.649,207.2,115.378,93,93,Marc,Marquez
181,1,1'55.681,29.825,31.056,27.042,27.758,202.2,115.681,23,23,Enea ,Bastianini
223,1,1'56.274,30.195,30.998,27.157,27.924,204.5,116.274,49,49,Fabio,Di Giannantonio
202,1,1'56.311,30.321,31.067,27.074,27.849,210.5,116.311,73,73,"Alex
",Marquez
517,1,1'56.414,29.956,31.042,27.221,28.195,215.5,116.414,43,43,Jack,Miller
244,1,1'56.689,30.088,31.21,27.513,27.878,196.7,116.689,41,41,Aleix,Espargaro
265,1,1'56.835,30.515,30.967,27.489,27.864,208.4,116.835,31,31,Pedro,Acosta
307,1,1'57.268,30.798,31.045,27.445,27.98,218.1,117.268,20,20,Fabio,Quartararo
286,1,1'57.299,30.389,31.822,27.288,27.8,213.8,117.299,12,12,Maverick,Vinales
349,1,1'57.590,30.939,31.076,27.424,28.151,222.6,117.59,36,36,Joan,Mir
328,1,1'57.874,31.048,31.261,27.621,27.944,215.1,117.874,5,5,Johann,Zarco
391,1,1'58.201,30.601,31.799,27.747,28.054,221.3,118.201,88,88,Miguel,Oliveira
433,1,1'58.285,31.194,31.407,27.635,28.049,222.2,118.285,37,37,Augusto,Fernandez
370,1,1'58.432,30.718,31.8,27.836,28.078,218.6,118.432,72,72,Marco,Bezzecchi
412,1,1'58.579,31.405,31.439,27.684,28.051,226.8,118.579,42,42,Alex,Rins
496,1,1'59.044,31.286,31.451,28.086,28.221,230.7,119.044,10,10,Luca,Marini
538,1,1'59.184,31.587,31.675,27.714,28.208,231.2,119.184,25,25,Raul,Fernandez
454,1,1'59.374,31.457,31.527,27.923,28.467,227.3,119.374,21,21,Franco,Morbidelli
475,1,1'59.502,31.541,31.629,28.09,28.242,223.1,119.502,30,30,Takkaki,Nakagami
