id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
14,14,1'52.793,27.774,30.231,27.136,27.652,347.2,112.793,1,1,Francesco,Bagnaia
35,14,1'52.805,27.762,30.252,27.045,27.746,350.6,112.805,33,33,Brad,Binder
194,14,1'53.163,27.823,30.503,27.182,27.655,357.6,113.163,23,23,Enea ,Bastianini
299,14,1'53.231,28.003,30.412,27.055,27.761,348.3,113.231,12,12,Maverick,Vinales
119,14,1'53.260,27.906,30.365,27.176,27.813,354,113.26,89,89,Jorge,Martin
140,14,1'53.309,27.896,30.502,27.123,27.788,356.4,113.309,93,93,Marc,Marquez
257,14,1'53.340,27.922,30.47,27.134,27.814,354,113.34,41,41,Aleix,Espargaro
215,14,1'53.353,27.876,30.476,27.137,27.864,349.5,113.353,73,73,"Alex
",Marquez
236,14,1'53.357,27.961,30.394,27.16,27.842,351.7,113.357,49,49,Fabio,Di Giannantonio
467,14,1'53.660,28.01,30.474,27.283,27.893,349.5,113.66,21,21,Franco,Morbidelli
362,14,1'53.739,27.961,30.595,27.329,27.854,355.2,113.739,36,36,Joan,Mir
320,14,1'53.751,28.028,30.493,27.356,27.874,347.2,113.751,20,20,Fabio,Quartararo
425,14,1'53.799,27.974,30.593,27.198,28.034,354,113.799,42,42,Alex,Rins
341,14,1'53.859,28.054,30.575,27.25,27.98,350.6,113.859,5,5,Johann,Zarco
488,14,1'53.930,27.974,30.614,27.415,27.927,348.3,113.93,30,30,Takkaki,Nakagami
404,14,1'53.990,27.98,30.623,27.414,27.973,354,113.99,88,88,Miguel,Oliveira
278,14,1'54.160,28.133,30.488,27.698,27.841,354,114.16,31,31,Pedro,Acosta
383,14,1'54.195,27.941,30.687,27.409,28.158,356.4,114.195,72,72,Marco,Bezzecchi
551,14,1'54.390,28.209,30.618,27.321,28.242,350.6,114.39,25,25,Raul,Fernandez
446,14,1'54.414,28.043,30.571,27.606,28.194,354,114.414,37,37,Augusto,Fernandez
509,14,1'54.545,28.092,30.864,27.522,28.067,342.8,114.545,10,10,Luca,Marini
530,14,1'54.556,28.032,30.804,27.582,28.138,348.3,114.556,43,43,Jack,Miller
