id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
109,4,1'52.814,27.826,30.335,26.994,27.659,350.6,112.814,89,89,Jorge,Martin
268,4,1'52.848,27.87,30.318,26.962,27.698,351.7,112.848,31,31,Pedro,Acosta
130,4,1'52.932,27.878,30.516,26.921,27.617,354,112.932,93,93,Marc,Marquez
4,4,1'52.956,27.905,30.274,27.126,27.651,341.7,112.956,1,1,Francesco,Bagnaia
205,4,1'52.983,27.854,30.426,26.978,27.725,348.3,112.983,73,73,"Alex
",Marquez
25,4,1'53.044,27.891,30.321,27.227,27.605,351.7,113.044,33,33,Brad,Binder
247,4,1'53.172,27.931,30.5,27.118,27.623,355.2,113.172,41,41,Aleix,Espargaro
226,4,1'53.236,27.921,30.549,27.054,27.712,352.9,113.236,49,49,Fabio,Di Giannantonio
184,4,1'53.344,28.019,30.561,26.986,27.778,346.1,113.344,23,23,Enea ,Bastianini
352,4,1'53.523,28.011,30.373,27.262,27.877,352.9,113.523,36,36,Joan,Mir
310,4,1'53.581,27.998,30.496,27.215,27.872,351.7,113.581,20,20,Fabio,Quartararo
289,4,1'53.607,28.182,30.469,27.081,27.875,356.4,113.607,12,12,Maverick,Vinales
457,4,1'53.630,27.945,30.476,27.182,28.027,350.6,113.63,21,21,Franco,Morbidelli
541,4,1'53.667,28.061,30.425,27.241,27.94,350.6,113.667,25,25,Raul,Fernandez
478,4,1'53.753,28.068,30.511,27.301,27.873,348.3,113.753,30,30,Takkaki,Nakagami
436,4,1'53.816,28.054,30.568,27.261,27.933,348.3,113.816,37,37,Augusto,Fernandez
373,4,1'53.817,27.955,30.648,27.18,28.034,352.9,113.817,72,72,Marco,Bezzecchi
394,4,1'53.836,28.107,30.535,27.227,27.967,352.9,113.836,88,88,Miguel,Oliveira
415,4,1'53.837,28.183,30.536,27.196,27.922,342.8,113.837,42,42,Alex,Rins
331,4,1'53.910,28.013,30.446,27.223,28.228,348.3,113.91,5,5,Johann,Zarco
520,4,1'54.433,28.108,30.73,27.458,28.137,348.3,114.433,43,43,Jack,Miller
499,4,1'55.273,28.406,30.94,27.769,28.158,345,115.273,10,10,Luca,Marini
