id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
265,1,1'56.835,30.515,30.967,27.489,27.864,208.4,116.835,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
266,2,1'52.657,27.924,30.23,26.843,27.66,357.6,112.657,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
267,3,1'52.921,27.739,30.579,26.934,27.669,349.5,112.921,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
268,4,1'52.848,27.87,30.318,26.962,27.698,351.7,112.848,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
269,5,1'52.873,28.007,30.378,26.88,27.608,355.2,112.873,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
270,6,1'52.841,28.011,30.342,26.877,27.611,354,112.841,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
271,7,1'52.770,27.846,30.29,26.899,27.735,355.2,112.77,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
272,8,1'53.011,27.92,30.466,26.879,27.746,354,113.011,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
273,9,1'53.153,27.97,30.432,26.962,27.789,349.5,113.153,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
274,10,1'53.175,28.229,30.241,26.91,27.795,351.7,113.175,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
275,11,1'53.140,27.931,30.38,27.015,27.814,349.5,113.14,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
276,12,1'52.980,27.778,30.421,26.998,27.783,356.4,112.98,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
277,13,1'52.969,27.865,30.331,26.967,27.806,356.4,112.969,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
278,14,1'54.160,28.133,30.488,27.698,27.841,354,114.16,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
279,15,1'53.770,27.852,30.469,27.269,28.18,352.9,113.77,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
280,16,1'54.401,28.465,30.768,27.29,27.878,354,114.401,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
281,17,1'53.819,27.986,30.532,27.263,28.038,354,113.819,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
282,18,1'53.938,28.085,30.489,27.34,28.024,351.7,113.938,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
283,19,1'54.428,27.996,30.65,27.709,28.073,351.7,114.428,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
284,20,1'54.828,28.409,31.039,27.334,28.046,348.3,114.828,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
285,21,1'54.947,28.402,30.975,27.392,28.178,354,114.947,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
433,1,1'58.285,31.194,31.407,27.635,28.049,222.2,118.285,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
434,2,1'54.157,28.271,30.974,27.091,27.821,352.9,114.157,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
435,3,1'53.623,27.999,30.701,27.124,27.799,348.3,113.623,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
436,4,1'53.816,28.054,30.568,27.261,27.933,348.3,113.816,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
437,5,1'53.549,28.01,30.697,27.062,27.78,351.7,113.549,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
438,6,1'54.230,28.097,30.679,27.481,27.973,342.8,114.23,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
439,7,1'53.214,27.955,30.356,27.071,27.832,350.6,113.214,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
440,8,1'53.531,27.959,30.567,27.13,27.875,351.7,113.531,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
441,9,1'53.602,27.973,30.589,27.154,27.886,351.7,113.602,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
442,10,1'53.541,28.006,30.491,27.131,27.913,354,113.541,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
443,11,1'53.945,28.263,30.548,27.247,27.887,354,113.945,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
444,12,1'53.584,27.973,30.472,27.181,27.958,351.7,113.584,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
445,13,1'53.606,27.95,30.578,27.189,27.889,354,113.606,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
446,14,1'54.414,28.043,30.571,27.606,28.194,354,114.414,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
447,15,1'54.952,29.155,30.663,27.253,27.881,350.6,114.952,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
448,16,1'53.884,28.134,30.582,27.212,27.956,350.6,113.884,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
449,17,1'54.012,28.096,30.635,27.309,27.972,351.7,114.012,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
450,18,1'54.448,28.204,30.777,27.413,28.054,348.3,114.448,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
451,19,1'54.320,28.257,30.623,27.298,28.142,334.3,114.32,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
452,20,1'54.805,28.162,30.631,27.348,28.664,350.6,114.805,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
453,21,1'55.457,28.493,30.824,27.539,28.601,348.3,115.457,37,37,Augusto,Fernandez,Madrid,40.4167,-3.70358,GasGas,RC16
