id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
22,1,1'55.246,29.622,30.753,27.199,27.672,202.2,115.246,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
23,2,1'53.053,27.832,30.437,27.192,27.592,356.4,113.053,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
24,3,1'53.290,28.101,30.31,27.161,27.718,351.7,113.29,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
25,4,1'53.044,27.891,30.321,27.227,27.605,351.7,113.044,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
26,5,1'52.926,27.959,30.363,27.032,27.572,352.9,112.926,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
27,6,1'53.025,27.929,30.242,27.175,27.679,352.9,113.025,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
28,7,1'52.729,27.743,30.285,27.113,27.588,352.9,112.729,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
29,8,1'52.772,27.767,30.217,27.038,27.75,356.4,112.772,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
30,9,1'53.314,27.795,30.291,27.335,27.893,351.7,113.314,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
31,10,1'53.038,28.024,30.384,27.03,27.6,348.3,113.038,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
32,11,1'52.985,27.966,30.227,27.068,27.724,354,112.985,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
33,12,1'52.960,27.834,30.237,27.179,27.71,349.5,112.96,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
34,13,1'52.915,27.795,30.273,27.073,27.774,351.7,112.915,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
35,14,1'52.805,27.762,30.252,27.045,27.746,350.6,112.805,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
36,15,1'53.052,27.874,30.286,27.161,27.731,350.6,113.052,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
37,16,1'53.148,27.895,30.334,27.15,27.769,350.6,113.148,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
38,17,1'53.200,27.831,30.428,27.178,27.763,350.6,113.2,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
39,18,1'52.959,27.877,30.292,27.059,27.731,351.7,112.959,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
40,19,1'53.032,27.85,30.322,27.076,27.784,349.5,113.032,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
41,20,1'53.559,27.944,30.428,27.258,27.929,350.6,113.559,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
42,21,1'53.146,27.85,30.358,27.102,27.836,349.5,113.146,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
517,1,1'56.414,29.956,31.042,27.221,28.195,215.5,116.414,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
518,2,2'06.226,39.843,30.782,27.49,28.111,349.5,126.226,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
519,3,1'54.284,28.095,30.609,27.526,28.054,347.2,114.284,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
520,4,1'54.433,28.108,30.73,27.458,28.137,348.3,114.433,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
521,5,1'54.056,27.987,30.493,27.534,28.042,348.3,114.056,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
522,6,1'53.927,27.977,30.512,27.448,27.99,348.3,113.927,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
523,7,1'54.244,28.084,30.715,27.408,28.037,348.3,114.244,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
524,8,1'54.127,27.963,30.682,27.427,28.055,348.3,114.127,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
525,9,1'54.142,28.007,30.639,27.48,28.016,349.5,114.142,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
526,10,1'54.421,28.103,30.685,27.523,28.11,351.7,114.421,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
527,11,1'54.454,28.044,30.641,27.562,28.207,348.3,114.454,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
528,12,1'54.611,28.072,30.739,27.666,28.134,348.3,114.611,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
529,13,1'54.744,28.07,31.023,27.557,28.094,348.3,114.744,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
530,14,1'54.556,28.032,30.804,27.582,28.138,348.3,114.556,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
531,15,1'54.303,28.032,30.633,27.552,28.086,347.2,114.303,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
532,16,1'54.441,28.047,30.637,27.528,28.229,347.2,114.441,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
533,17,1'54.558,28.201,30.692,27.545,28.12,351.7,114.558,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
534,18,1'55.124,28.171,30.722,27.729,28.502,347.2,115.124,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
535,19,1'54.684,28.211,30.852,27.535,28.086,351.7,114.684,43,43,Jack,Miller,Townsville,-19.25694,146.82395,KTM,RC16
