id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
328,1,1'57.874,31.048,31.261,27.621,27.944,215.1,117.874,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
329,2,1'53.661,28.025,30.442,27.283,27.911,349.5,113.661,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
330,3,1'53.531,27.885,30.409,27.222,28.015,350.6,113.531,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
331,4,1'53.910,28.013,30.446,27.223,28.228,348.3,113.91,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
332,5,1'53.736,28.062,30.454,27.34,27.88,349.5,113.736,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
333,6,1'53.677,28.043,30.433,27.238,27.963,349.5,113.677,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
334,7,1'53.839,28.091,30.576,27.313,27.859,347.2,113.839,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
335,8,1'53.713,28.073,30.39,27.202,28.048,341.7,113.713,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
336,9,1'53.410,27.947,30.413,27.206,27.844,348.3,113.41,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
337,10,1'53.758,27.931,30.533,27.303,27.991,348.3,113.758,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
338,11,1'53.885,28.131,30.564,27.251,27.939,332.3,113.885,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
339,12,1'53.601,27.94,30.526,27.243,27.892,349.5,113.601,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
340,13,1'53.662,28.016,30.526,27.222,27.898,352.9,113.662,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
341,14,1'53.859,28.054,30.575,27.25,27.98,350.6,113.859,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
342,15,1'53.876,28.011,30.556,27.251,28.058,350.6,113.876,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
343,16,1'53.913,27.966,30.675,27.305,27.967,349.5,113.913,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
344,17,1'54.171,28.01,30.71,27.428,28.023,351.7,114.171,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
345,18,1'53.807,27.994,30.563,27.398,27.852,351.7,113.807,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
346,19,1'53.767,27.963,30.525,27.312,27.967,350.6,113.767,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
347,20,1'53.778,28.085,30.512,27.317,27.864,346.1,113.778,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
348,21,1'53.516,27.962,30.465,27.251,27.838,350.6,113.516,5,5,Johann,Zarco,Cannes,43.55152,7.01344,LCR Honda,RC213V
475,1,1'59.502,31.541,31.629,28.09,28.242,223.1,119.502,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
476,2,1'54.869,28.508,30.714,27.689,27.958,343.9,114.869,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
477,3,1'53.993,28.126,30.522,27.41,27.935,350.6,113.993,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
478,4,1'53.753,28.068,30.511,27.301,27.873,348.3,113.753,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
479,5,1'54.254,28.138,30.682,27.457,27.977,348.3,114.254,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
480,6,1'53.960,28.171,30.627,27.294,27.868,349.5,113.96,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
481,7,1'54.082,28.184,30.677,27.361,27.86,349.5,114.082,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
482,8,1'53.895,28.083,30.502,27.393,27.917,348.3,113.895,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
483,9,1'54.004,28.16,30.64,27.346,27.858,347.2,114.004,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
484,10,1'53.892,27.968,30.663,27.356,27.905,349.5,113.892,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
485,11,1'53.704,27.953,30.54,27.323,27.888,348.3,113.704,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
486,12,1'54.016,28.02,30.706,27.394,27.896,349.5,114.016,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
487,13,1'54.015,28.098,30.627,27.363,27.927,348.3,114.015,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
488,14,1'53.930,27.974,30.614,27.415,27.927,348.3,113.93,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
489,15,1'54.052,27.976,30.691,27.487,27.898,347.2,114.052,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
490,16,1'54.156,28.027,30.572,27.551,28.006,349.5,114.156,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
491,17,1'54.177,28.141,30.58,27.485,27.971,347.2,114.177,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
492,18,1'54.060,28.159,30.597,27.388,27.916,347.2,114.06,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
493,19,1'54.077,28.078,30.631,27.426,27.942,348.3,114.077,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
494,20,1'54.081,28.097,30.645,27.47,27.869,347.2,114.081,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
495,21,1'53.953,28.071,30.631,27.402,27.849,347.2,113.953,30,30,Takkaki,Nakagami,Chiba,35.60999,140.11813,LCR Honda,RC213V
