Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'55.378,29.873,30.739,27.117,27.649,207.2,115.378,93
2,1'53.403,27.998,30.461,27.125,27.819,355.2,113.403,93
3,1'53.148,27.943,30.404,26.998,27.803,354,113.148,93
4,1'52.932,27.878,30.516,26.921,27.617,354,112.932,93
5,1'53.102,27.931,30.464,26.937,27.77,355.2,113.102,93
6,1'52.858,28.074,30.267,26.856,27.661,349.5,112.858,93
7,1'52.773,27.739,30.348,26.954,27.732,350.6,112.773,93
8,1'52.942,27.786,30.411,26.968,27.777,351.7,112.942,93
9,1'53.143,27.817,30.402,27.086,27.838,352.9,113.143,93
10,1'53.104,27.974,30.408,26.92,27.802,355.2,113.104,93
11,1'53.337,27.919,30.519,27.039,27.86,349.5,113.337,93
12,1'53.385,27.989,30.506,27.083,27.807,351.7,113.385,93
13,1'53.086,28.087,30.345,26.948,27.706,355.2,113.086,93
14,1'53.309,27.896,30.502,27.123,27.788,356.4,113.309,93
15,1'52.983,27.782,30.371,27.024,27.806,352.9,112.983,93
16,1'53.032,27.838,30.386,27.005,27.803,351.7,113.032,93
17,1'52.965,27.826,30.354,27.013,27.772,352.9,112.965,93
18,1'52.895,27.822,30.451,26.897,27.725,351.7,112.895,93
19,1'53.150,27.905,30.448,26.995,27.802,352.9,113.15,93
20,1'53.420,"27.866
","30.510
","27.155
","27.889
",350.6,113.42,93
21,1'53.953,"28.068
","30.612
","27.271
","28.002
",351.7,113.953,93
