Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'59.044,31.286,31.451,28.086,28.221,230.7,119.044,10
2,1'56.739,29.678,31.134,27.815,28.112,355.2,116.739,10
3,1'55.591,28.399,31.277,27.731,28.184,349.5,115.591,10
4,1'55.273,28.406,30.94,27.769,28.158,345,115.273,10
5,1'55.072,28.368,30.873,27.752,28.079,343.9,115.072,10
6,1'55.061,28.29,30.921,27.649,28.201,343.9,115.061,10
7,1'54.860,28.238,30.86,27.668,28.094,342.8,114.86,10
8,1'55.033,28.287,30.86,27.744,28.142,342.8,115.033,10
9,1'55.045,28.31,30.908,27.671,28.156,342.8,115.045,10
10,1'54.685,28.345,30.748,27.552,28.04,340.6,114.685,10
11,1'54.450,28.059,30.662,27.514,28.215,350.6,114.45,10
12,1'54.668,28.147,30.77,27.579,28.172,350.6,114.668,10
13,1'54.726,28.123,30.926,27.552,28.125,347.2,114.726,10
14,1'54.545,28.092,30.864,27.522,28.067,342.8,114.545,10
15,1'54.338,28.202,30.618,27.506,28.012,340.6,114.338,10
16,1'54.306,28.042,30.688,27.471,28.105,346.1,114.306,10
17,1'54.691,28.688,30.873,27.335,27.795,347.2,114.691,10
18,1'54.772,28.118,30.721,27.691,28.242,347.2,114.772,10
19,1'54.371,28.076,30.709,27.552,28.034,343.9,114.371,10
20,1'54.866,28.2,30.814,27.737,28.115,340.6,114.866,10
21,1'55.155,28.264,30.665,27.695,28.531,341.7,115.155,10
