Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'55.152,29.496,30.705,27.235,27.716,199.6,115.152,89
2,1'53.333,28.121,30.411,27.18,27.621,349.5,113.333,89
3,1'53.290,28.005,30.389,27.075,27.821,349.5,113.29,89
4,1'52.814,27.826,30.335,26.994,27.659,350.6,112.814,89
5,1'52.917,27.852,30.247,27.104,27.714,349.5,112.917,89
6,1'52.922,27.743,30.363,27.153,27.663,348.3,112.922,89
7,1'52.805,27.684,30.27,27.153,27.698,347.2,112.805,89
8,1'53.128,27.916,30.43,27.029,27.753,350.6,113.128,89
9,1'53.118,27.748,30.393,27.181,27.796,349.5,113.118,89
10,1'52.898,27.724,30.3,27.14,27.734,354,112.898,89
11,1'53.385,28.155,30.412,27.134,27.684,347.2,113.385,89
12,1'53.182,27.8,30.371,27.17,27.841,352.9,113.182,89
13,1'53.068,27.736,30.337,27.203,27.792,351.7,113.068,89
14,1'53.260,27.906,30.365,27.176,27.813,354,113.26,89
15,1'53.075,27.739,30.394,27.234,27.708,351.7,113.075,89
16,1'53.044,27.947,30.345,27.083,27.669,352.9,113.044,89
17,1'53.052,27.764,30.364,27.217,27.707,351.7,113.052,89
18,1'53.082,27.742,30.38,27.17,27.79,351.7,113.082,89
19,1'53.020,27.805,30.328,27.171,27.716,351.7,113.02,89
20,1'52.742,27.656,30.326,27.062,27.698,351.7,112.742,89
21,1'53.515,27.85,30.544,27.202,27.919,351.7,113.515,89
