Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'56.414,29.956,31.042,27.221,28.195,215.5,116.414,43
2,2'06.226,39.843,30.782,27.49,28.111,349.5,126.226,43
3,1'54.284,28.095,30.609,27.526,28.054,347.2,114.284,43
4,1'54.433,28.108,30.73,27.458,28.137,348.3,114.433,43
5,1'54.056,27.987,30.493,27.534,28.042,348.3,114.056,43
6,1'53.927,27.977,30.512,27.448,27.99,348.3,113.927,43
7,1'54.244,28.084,30.715,27.408,28.037,348.3,114.244,43
8,1'54.127,27.963,30.682,27.427,28.055,348.3,114.127,43
9,1'54.142,28.007,30.639,27.48,28.016,349.5,114.142,43
10,1'54.421,28.103,30.685,27.523,28.11,351.7,114.421,43
11,1'54.454,28.044,30.641,27.562,28.207,348.3,114.454,43
12,1'54.611,28.072,30.739,27.666,28.134,348.3,114.611,43
13,1'54.744,28.07,31.023,27.557,28.094,348.3,114.744,43
14,1'54.556,28.032,30.804,27.582,28.138,348.3,114.556,43
15,1'54.303,28.032,30.633,27.552,28.086,347.2,114.303,43
16,1'54.441,28.047,30.637,27.528,28.229,347.2,114.441,43
17,1'54.558,28.201,30.692,27.545,28.12,351.7,114.558,43
18,1'55.124,28.171,30.722,27.729,28.502,347.2,115.124,43
19,1'54.684,28.211,30.852,27.535,28.086,351.7,114.684,43
20,1'54.645,28.082,30.795,27.577,28.191,349.5,114.645,43
21,1'55.236,28.186,30.826,27.489,28.735,350.6,115.236,43
