Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'59.374,31.457,31.527,27.923,28.467,227.3,119.374,21
2,1'54.659,28.215,30.572,28.006,27.866,354,114.659,21
3,1'53.695,27.954,30.419,27.319,28.003,351.7,113.695,21
4,1'53.630,27.945,30.476,27.182,28.027,350.6,113.63,21
5,1'54.143,28.418,30.545,27.242,27.938,350.6,114.143,21
6,1'53.962,28.025,30.622,27.381,27.934,348.3,113.962,21
7,1'53.873,27.967,30.612,27.235,28.059,349.5,113.873,21
8,1'53.893,27.978,30.612,27.302,28.001,349.5,113.893,21
9,1'54.510,28.322,30.722,27.447,28.019,343.9,114.51,21
10,1'53.839,27.972,30.576,27.337,27.954,350.6,113.839,21
11,1'53.666,27.927,30.517,27.223,27.999,349.5,113.666,21
12,1'54.201,28.253,30.596,27.341,28.011,349.5,114.201,21
13,1'53.643,27.938,30.586,27.266,27.853,348.3,113.643,21
14,1'53.660,28.01,30.474,27.283,27.893,349.5,113.66,21
15,1'54.134,28.001,30.855,27.281,27.997,350.6,114.134,21
16,1'54.413,27.984,31.057,27.505,27.867,350.6,114.413,21
17,1'54.125,28.006,30.713,27.361,28.045,348.3,114.125,21
18,1'54.056,28.083,30.63,27.408,27.935,346.1,114.056,21
19,1'53.802,27.932,30.635,27.282,27.953,348.3,113.802,21
20,1'54.063,28.045,30.698,27.375,27.945,349.5,114.063,21
21,1'54.169,27.986,30.891,27.314,27.978,349.5,114.169,21
