Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'59.502,31.541,31.629,28.09,28.242,223.1,119.502,30
2,1'54.869,28.508,30.714,27.689,27.958,343.9,114.869,30
3,1'53.993,28.126,30.522,27.41,27.935,350.6,113.993,30
4,1'53.753,28.068,30.511,27.301,27.873,348.3,113.753,30
5,1'54.254,28.138,30.682,27.457,27.977,348.3,114.254,30
6,1'53.960,28.171,30.627,27.294,27.868,349.5,113.96,30
7,1'54.082,28.184,30.677,27.361,27.86,349.5,114.082,30
8,1'53.895,28.083,30.502,27.393,27.917,348.3,113.895,30
9,1'54.004,28.16,30.64,27.346,27.858,347.2,114.004,30
10,1'53.892,27.968,30.663,27.356,27.905,349.5,113.892,30
11,1'53.704,27.953,30.54,27.323,27.888,348.3,113.704,30
12,1'54.016,28.02,30.706,27.394,27.896,349.5,114.016,30
13,1'54.015,28.098,30.627,27.363,27.927,348.3,114.015,30
14,1'53.930,27.974,30.614,27.415,27.927,348.3,113.93,30
15,1'54.052,27.976,30.691,27.487,27.898,347.2,114.052,30
16,1'54.156,28.027,30.572,27.551,28.006,349.5,114.156,30
17,1'54.177,28.141,30.58,27.485,27.971,347.2,114.177,30
18,1'54.060,28.159,30.597,27.388,27.916,347.2,114.06,30
19,1'54.077,28.078,30.631,27.426,27.942,348.3,114.077,30
20,1'54.081,28.097,30.645,27.47,27.869,347.2,114.081,30
21,1'53.953,28.071,30.631,27.402,27.849,347.2,113.953,30
