id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
9,9,1'52.667,27.848,30.181,27.004,27.634,345,112.667,1,1,Francesco,Bagnaia
210,9,1'52.874,27.812,30.31,26.931,27.821,347.2,112.874,73,73,"Alex
",Marquez
252,9,1'53.012,27.724,30.459,27.048,27.781,354,113.012,41,41,Aleix,Espargaro
294,9,1'53.054,27.94,30.314,27.004,27.796,348.3,113.054,12,12,Maverick,Vinales
189,9,1'53.100,27.889,30.448,27.044,27.719,351.7,113.1,23,23,Enea ,Bastianini
231,9,1'53.101,27.865,30.43,27.078,27.728,351.7,113.101,49,49,Fabio,Di Giannantonio
114,9,1'53.118,27.748,30.393,27.181,27.796,349.5,113.118,89,89,Jorge,Martin
135,9,1'53.143,27.817,30.402,27.086,27.838,352.9,113.143,93,93,Marc,Marquez
273,9,1'53.153,27.97,30.432,26.962,27.789,349.5,113.153,31,31,Pedro,Acosta
30,9,1'53.314,27.795,30.291,27.335,27.893,351.7,113.314,33,33,Brad,Binder
336,9,1'53.410,27.947,30.413,27.206,27.844,348.3,113.41,5,5,Johann,Zarco
315,9,1'53.520,27.924,30.469,27.27,27.857,349.5,113.52,20,20,Fabio,Quartararo
420,9,1'53.528,28.016,30.501,27.193,27.818,350.6,113.528,42,42,Alex,Rins
357,9,1'53.573,28.042,30.398,27.214,27.919,349.5,113.573,36,36,Joan,Mir
378,9,1'53.584,27.933,30.492,27.144,28.015,355.2,113.584,72,72,Marco,Bezzecchi
441,9,1'53.602,27.973,30.589,27.154,27.886,351.7,113.602,37,37,Augusto,Fernandez
399,9,1'53.713,27.93,30.63,27.27,27.883,352.9,113.713,88,88,Miguel,Oliveira
546,9,1'53.825,27.928,30.677,27.194,28.026,354,113.825,25,25,Raul,Fernandez
483,9,1'54.004,28.16,30.64,27.346,27.858,347.2,114.004,30,30,Takkaki,Nakagami
525,9,1'54.142,28.007,30.639,27.48,28.016,349.5,114.142,43,43,Jack,Miller
462,9,1'54.510,28.322,30.722,27.447,28.019,343.9,114.51,21,21,Franco,Morbidelli
504,9,1'55.045,28.31,30.908,27.671,28.156,342.8,115.045,10,10,Luca,Marini
