Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'58.201,30.601,31.799,27.747,28.054,221.3,118.201,88
2,1'53.840,28.206,30.445,27.334,27.855,349.5,113.84,88
3,1'53.690,27.946,30.472,27.338,27.934,348.3,113.69,88
4,1'53.836,28.107,30.535,27.227,27.967,352.9,113.836,88
5,1'56.511,27.949,33.042,27.528,27.992,350.6,116.511,88
6,1'53.858,27.956,30.592,27.388,27.922,351.7,113.858,88
7,1'53.634,27.912,30.545,27.297,27.88,352.9,113.634,88
8,1'53.729,27.952,30.591,27.315,27.871,351.7,113.729,88
9,1'53.713,27.93,30.63,27.27,27.883,352.9,113.713,88
10,1'53.710,27.95,30.514,27.332,27.914,351.7,113.71,88
11,1'53.635,27.92,30.583,27.281,27.851,350.6,113.635,88
12,1'53.573,27.793,30.587,27.327,27.866,352.9,113.573,88
13,1'53.803,27.864,30.61,27.377,27.952,352.9,113.803,88
14,1'53.990,27.98,30.623,27.414,27.973,354,113.99,88
15,1'53.714,27.868,30.585,27.295,27.966,354,113.714,88
16,1'53.401,27.797,30.536,27.227,27.841,351.7,113.401,88
17,1'53.749,27.826,30.662,27.328,27.933,352.9,113.749,88
18,1'53.834,27.989,30.629,27.385,27.831,351.7,113.834,88
19,1'53.811,27.909,30.504,27.333,28.065,352.9,113.811,88
20,1'53.571,27.871,30.514,27.282,27.904,350.6,113.571,88
21,1'53.783,27.929,30.506,27.406,27.942,351.7,113.783,88
