Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'57.268,30.798,31.045,27.445,27.98,218.1,117.268,20
2,1'53.468,27.985,30.55,27.182,27.751,355.2,113.468,20
3,1'53.522,27.943,30.536,27.186,27.857,349.5,113.522,20
4,1'53.581,27.998,30.496,27.215,27.872,351.7,113.581,20
5,1'53.539,27.895,30.47,27.265,27.909,350.6,113.539,20
6,1'53.661,28.01,30.52,27.25,27.881,349.5,113.661,20
7,1'53.792,27.999,30.512,27.45,27.831,346.1,113.792,20
8,1'54.010,28.315,30.569,27.233,27.893,333.3,114.01,20
9,1'53.520,27.924,30.469,27.27,27.857,349.5,113.52,20
10,1'53.595,27.96,30.474,27.31,27.851,349.5,113.595,20
11,1'53.915,27.981,30.546,27.357,28.031,349.5,113.915,20
12,1'53.844,28.023,30.557,27.373,27.891,348.3,113.844,20
13,1'53.794,28.035,30.496,27.399,27.864,347.2,113.794,20
14,1'53.751,28.028,30.493,27.356,27.874,347.2,113.751,20
15,1'54.097,27.967,30.501,27.69,27.939,348.3,114.097,20
16,1'54.087,28.115,30.505,27.466,28.001,351.7,114.087,20
17,1'53.976,28.095,30.542,27.459,27.88,349.5,113.976,20
18,1'53.992,28.158,30.516,27.384,27.934,351.7,113.992,20
19,1'54.015,28.107,30.589,27.393,27.926,348.3,114.015,20
20,1'53.607,28.003,30.364,27.384,27.856,347.2,113.607,20
21,1'53.536,27.983,30.376,27.309,27.868,346.1,113.536,20
