id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
22,1,1'55.246,29.622,30.753,27.199,27.672,202.2,115.246,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
23,2,1'53.053,27.832,30.437,27.192,27.592,356.4,113.053,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
24,3,1'53.290,28.101,30.31,27.161,27.718,351.7,113.29,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
25,4,1'53.044,27.891,30.321,27.227,27.605,351.7,113.044,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
26,5,1'52.926,27.959,30.363,27.032,27.572,352.9,112.926,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
27,6,1'53.025,27.929,30.242,27.175,27.679,352.9,113.025,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
28,7,1'52.729,27.743,30.285,27.113,27.588,352.9,112.729,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
29,8,1'52.772,27.767,30.217,27.038,27.75,356.4,112.772,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
30,9,1'53.314,27.795,30.291,27.335,27.893,351.7,113.314,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
31,10,1'53.038,28.024,30.384,27.03,27.6,348.3,113.038,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
32,11,1'52.985,27.966,30.227,27.068,27.724,354,112.985,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
33,12,1'52.960,27.834,30.237,27.179,27.71,349.5,112.96,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
34,13,1'52.915,27.795,30.273,27.073,27.774,351.7,112.915,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
35,14,1'52.805,27.762,30.252,27.045,27.746,350.6,112.805,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
36,15,1'53.052,27.874,30.286,27.161,27.731,350.6,113.052,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
37,16,1'53.148,27.895,30.334,27.15,27.769,350.6,113.148,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
38,17,1'53.200,27.831,30.428,27.178,27.763,350.6,113.2,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
39,18,1'52.959,27.877,30.292,27.059,27.731,351.7,112.959,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
40,19,1'53.032,27.85,30.322,27.076,27.784,349.5,113.032,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
41,20,1'53.559,27.944,30.428,27.258,27.929,350.6,113.559,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
42,21,1'53.146,27.85,30.358,27.102,27.836,349.5,113.146,33,33,Brad,Binder,Potchefstroom,-26.70778,27.09583,KTM,RC16
265,1,1'56.835,30.515,30.967,27.489,27.864,208.4,116.835,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
266,2,1'52.657,27.924,30.23,26.843,27.66,357.6,112.657,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
267,3,1'52.921,27.739,30.579,26.934,27.669,349.5,112.921,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
268,4,1'52.848,27.87,30.318,26.962,27.698,351.7,112.848,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
269,5,1'52.873,28.007,30.378,26.88,27.608,355.2,112.873,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
270,6,1'52.841,28.011,30.342,26.877,27.611,354,112.841,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
271,7,1'52.770,27.846,30.29,26.899,27.735,355.2,112.77,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
272,8,1'53.011,27.92,30.466,26.879,27.746,354,113.011,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
273,9,1'53.153,27.97,30.432,26.962,27.789,349.5,113.153,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
274,10,1'53.175,28.229,30.241,26.91,27.795,351.7,113.175,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
275,11,1'53.140,27.931,30.38,27.015,27.814,349.5,113.14,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
276,12,1'52.980,27.778,30.421,26.998,27.783,356.4,112.98,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
277,13,1'52.969,27.865,30.331,26.967,27.806,356.4,112.969,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
278,14,1'54.160,28.133,30.488,27.698,27.841,354,114.16,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
279,15,1'53.770,27.852,30.469,27.269,28.18,352.9,113.77,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
280,16,1'54.401,28.465,30.768,27.29,27.878,354,114.401,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
281,17,1'53.819,27.986,30.532,27.263,28.038,354,113.819,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
282,18,1'53.938,28.085,30.489,27.34,28.024,351.7,113.938,31,31,Pedro,Acosta,Mazaron,37.59865,-1.31385,GasGas,RC16
