Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'58.579,31.405,31.439,27.684,28.051,226.8,118.579,42
2,1'53.996,28.364,30.717,27.144,27.771,351.7,113.996,42
3,1'53.270,28.029,30.355,27.134,27.752,345,113.27,42
4,1'53.837,28.183,30.536,27.196,27.922,342.8,113.837,42
5,1'53.455,28.097,30.471,27.053,27.834,348.3,113.455,42
6,1'53.610,28.274,30.456,27.066,27.814,333.3,113.61,42
7,1'53.577,28.069,30.5,27.195,27.813,350.6,113.577,42
8,1'53.743,28.083,30.49,27.192,27.978,352.9,113.743,42
9,1'53.528,28.016,30.501,27.193,27.818,350.6,113.528,42
10,1'53.552,27.941,30.545,27.21,27.856,349.5,113.552,42
11,1'53.598,27.951,30.53,27.176,27.941,352.9,113.598,42
12,1'53.678,27.952,30.576,27.231,27.919,351.7,113.678,42
13,1'53.671,28.016,30.544,27.145,27.966,350.6,113.671,42
14,1'53.799,27.974,30.593,27.198,28.034,354,113.799,42
15,1'53.776,27.993,30.553,27.291,27.939,351.7,113.776,42
16,1'54.043,28.098,30.737,27.271,27.937,350.6,114.043,42
17,1'54.233,28.066,30.759,27.416,27.992,350.6,114.233,42
18,1'55.268,27.961,31.009,27.45,28.848,354,115.268,42
19,1'54.971,28.23,30.974,27.556,28.211,347.2,114.971,42
20,1'55.433,28.248,30.83,27.462,28.893,345,115.433,42
21,1'55.345,28.187,30.893,27.514,28.751,351.7,115.345,42
