id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
266,2,1'52.657,27.924,30.23,26.843,27.66,357.6,112.657,31,31,Pedro,Acosta
203,2,1'52.811,27.835,30.094,27.091,27.791,345,112.811,73,73,"Alex
",Marquez
23,2,1'53.053,27.832,30.437,27.192,27.592,356.4,113.053,33,33,Brad,Binder
2,2,1'53.169,27.896,30.377,27.144,27.752,342.8,113.169,1,1,Francesco,Bagnaia
224,2,1'53.315,28.069,30.374,27.028,27.844,346.1,113.315,49,49,Fabio,Di Giannantonio
107,2,1'53.333,28.121,30.411,27.18,27.621,349.5,113.333,89,89,Jorge,Martin
182,2,1'53.334,27.893,30.481,27.207,27.753,352.9,113.334,23,23,Enea ,Bastianini
245,2,1'53.344,28.167,30.387,27.095,27.695,351.7,113.344,41,41,Aleix,Espargaro
128,2,1'53.403,27.998,30.461,27.125,27.819,355.2,113.403,93,93,Marc,Marquez
308,2,1'53.468,27.985,30.55,27.182,27.751,355.2,113.468,20,20,Fabio,Quartararo
287,2,1'53.485,27.995,30.602,27.173,27.715,350.6,113.485,12,12,Maverick,Vinales
371,2,1'53.517,28.16,30.439,27.023,27.895,354,113.517,72,72,Marco,Bezzecchi
350,2,1'53.636,28.131,30.441,27.215,27.849,348.3,113.636,36,36,Joan,Mir
329,2,1'53.661,28.025,30.442,27.283,27.911,349.5,113.661,5,5,Johann,Zarco
392,2,1'53.840,28.206,30.445,27.334,27.855,349.5,113.84,88,88,Miguel,Oliveira
539,2,1'53.890,28.088,30.555,27.287,27.96,355.2,113.89,25,25,Raul,Fernandez
413,2,1'53.996,28.364,30.717,27.144,27.771,351.7,113.996,42,42,Alex,Rins
434,2,1'54.157,28.271,30.974,27.091,27.821,352.9,114.157,37,37,Augusto,Fernandez
455,2,1'54.659,28.215,30.572,28.006,27.866,354,114.659,21,21,Franco,Morbidelli
476,2,1'54.869,28.508,30.714,27.689,27.958,343.9,114.869,30,30,Takkaki,Nakagami
497,2,1'56.739,29.678,31.134,27.815,28.112,355.2,116.739,10,10,Luca,Marini
518,2,2'06.226,39.843,30.782,27.49,28.111,349.5,126.226,43,43,Jack,Miller
