id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
143,17,1'52.965,27.826,30.354,27.013,27.772,352.9,112.965,93,93,Marc,Marquez
122,17,1'53.052,27.764,30.364,27.217,27.707,351.7,113.052,89,89,Jorge,Martin
17,17,1'53.137,27.845,30.376,27.246,27.67,346.1,113.137,1,1,Francesco,Bagnaia
38,17,1'53.200,27.831,30.428,27.178,27.763,350.6,113.2,33,33,Brad,Binder
218,17,1'53.250,27.948,30.359,27.123,27.82,348.3,113.25,73,73,"Alex
",Marquez
386,17,1'53.342,27.955,30.38,27.156,27.851,351.7,113.342,72,72,Marco,Bezzecchi
260,17,1'53.353,27.822,30.542,27.21,27.779,355.2,113.353,41,41,Aleix,Espargaro
197,17,1'53.435,27.912,30.538,27.087,27.898,354,113.435,23,23,Enea ,Bastianini
239,17,1'53.579,27.971,30.576,27.062,27.97,351.7,113.579,49,49,Fabio,Di Giannantonio
407,17,1'53.749,27.826,30.662,27.328,27.933,352.9,113.749,88,88,Miguel,Oliveira
281,17,1'53.819,27.986,30.532,27.263,28.038,354,113.819,31,31,Pedro,Acosta
302,17,1'53.824,27.935,30.816,27.104,27.969,349.5,113.824,12,12,Maverick,Vinales
323,17,1'53.976,28.095,30.542,27.459,27.88,349.5,113.976,20,20,Fabio,Quartararo
449,17,1'54.012,28.096,30.635,27.309,27.972,351.7,114.012,37,37,Augusto,Fernandez
470,17,1'54.125,28.006,30.713,27.361,28.045,348.3,114.125,21,21,Franco,Morbidelli
344,17,1'54.171,28.01,30.71,27.428,28.023,351.7,114.171,5,5,Johann,Zarco
491,17,1'54.177,28.141,30.58,27.485,27.971,347.2,114.177,30,30,Takkaki,Nakagami
365,17,1'54.227,28.111,30.641,27.465,28.01,342.8,114.227,36,36,Joan,Mir
428,17,1'54.233,28.066,30.759,27.416,27.992,350.6,114.233,42,42,Alex,Rins
533,17,1'54.558,28.201,30.692,27.545,28.12,351.7,114.558,43,43,Jack,Miller
512,17,1'54.691,28.688,30.873,27.335,27.795,347.2,114.691,10,10,Luca,Marini
554,17,2'10.931,29.268,32.904,28.523,40.236,350.6,130.931,25,25,Raul,Fernandez
