id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
28,7,1'52.729,27.743,30.285,27.113,27.588,352.9,112.729,33,33,Brad,Binder
271,7,1'52.770,27.846,30.29,26.899,27.735,355.2,112.77,31,31,Pedro,Acosta
133,7,1'52.773,27.739,30.348,26.954,27.732,350.6,112.773,93,93,Marc,Marquez
7,7,1'52.779,27.843,30.203,27.063,27.67,345,112.779,1,1,Francesco,Bagnaia
112,7,1'52.805,27.684,30.27,27.153,27.698,347.2,112.805,89,89,Jorge,Martin
187,7,1'52.890,27.868,30.406,26.957,27.659,355.2,112.89,23,23,Enea ,Bastianini
229,7,1'52.909,27.794,30.361,27.023,27.731,355.2,112.909,49,49,Fabio,Di Giannantonio
208,7,1'52.993,27.86,30.249,27.04,27.844,348.3,112.993,73,73,"Alex
",Marquez
439,7,1'53.214,27.955,30.356,27.071,27.832,350.6,113.214,37,37,Augusto,Fernandez
250,7,1'53.554,27.79,30.505,27.565,27.694,355.2,113.554,41,41,Aleix,Espargaro
418,7,1'53.577,28.069,30.5,27.195,27.813,350.6,113.577,42,42,Alex,Rins
355,7,1'53.606,28.074,30.394,27.295,27.843,348.3,113.606,36,36,Joan,Mir
397,7,1'53.634,27.912,30.545,27.297,27.88,352.9,113.634,88,88,Miguel,Oliveira
376,7,1'53.659,27.966,30.486,27.221,27.986,352.9,113.659,72,72,Marco,Bezzecchi
292,7,1'53.774,27.961,30.581,27.452,27.78,347.2,113.774,12,12,Maverick,Vinales
313,7,1'53.792,27.999,30.512,27.45,27.831,346.1,113.792,20,20,Fabio,Quartararo
334,7,1'53.839,28.091,30.576,27.313,27.859,347.2,113.839,5,5,Johann,Zarco
460,7,1'53.873,27.967,30.612,27.235,28.059,349.5,113.873,21,21,Franco,Morbidelli
481,7,1'54.082,28.184,30.677,27.361,27.86,349.5,114.082,30,30,Takkaki,Nakagami
544,7,1'54.085,28.056,30.697,27.266,28.066,354,114.085,25,25,Raul,Fernandez
523,7,1'54.244,28.084,30.715,27.408,28.037,348.3,114.244,43,43,Jack,Miller
502,7,1'54.860,28.238,30.86,27.668,28.094,342.8,114.86,10,10,Luca,Marini
