id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
142,16,1'53.032,27.838,30.386,27.005,27.803,351.7,113.032,93,93,Marc,Marquez
121,16,1'53.044,27.947,30.345,27.083,27.669,352.9,113.044,89,89,Jorge,Martin
16,16,1'53.057,27.896,30.315,27.209,27.637,346.1,113.057,1,1,Francesco,Bagnaia
37,16,1'53.148,27.895,30.334,27.15,27.769,350.6,113.148,33,33,Brad,Binder
217,16,1'53.226,27.948,30.381,27.044,27.853,347.2,113.226,73,73,"Alex
",Marquez
301,16,1'53.274,27.867,30.477,27.116,27.814,349.5,113.274,12,12,Maverick,Vinales
238,16,1'53.296,27.868,30.447,27.096,27.885,350.6,113.296,49,49,Fabio,Di Giannantonio
196,16,1'53.303,27.992,30.516,27.1,27.695,354,113.303,23,23,Enea ,Bastianini
259,16,1'53.328,27.858,30.517,27.144,27.809,352.9,113.328,41,41,Aleix,Espargaro
406,16,1'53.401,27.797,30.536,27.227,27.841,351.7,113.401,88,88,Miguel,Oliveira
385,16,1'53.773,28.084,30.558,27.23,27.901,351.7,113.773,72,72,Marco,Bezzecchi
448,16,1'53.884,28.134,30.582,27.212,27.956,350.6,113.884,37,37,Augusto,Fernandez
343,16,1'53.913,27.966,30.675,27.305,27.967,349.5,113.913,5,5,Johann,Zarco
364,16,1'54.019,28.012,30.481,27.41,28.116,343.9,114.019,36,36,Joan,Mir
427,16,1'54.043,28.098,30.737,27.271,27.937,350.6,114.043,42,42,Alex,Rins
322,16,1'54.087,28.115,30.505,27.466,28.001,351.7,114.087,20,20,Fabio,Quartararo
490,16,1'54.156,28.027,30.572,27.551,28.006,349.5,114.156,30,30,Takkaki,Nakagami
511,16,1'54.306,28.042,30.688,27.471,28.105,346.1,114.306,10,10,Luca,Marini
280,16,1'54.401,28.465,30.768,27.29,27.878,354,114.401,31,31,Pedro,Acosta
469,16,1'54.413,27.984,31.057,27.505,27.867,350.6,114.413,21,21,Franco,Morbidelli
532,16,1'54.441,28.047,30.637,27.528,28.229,347.2,114.441,43,43,Jack,Miller
553,16,1'56.032,28.282,31.467,27.829,28.454,352.9,116.032,25,25,Raul,Fernandez
