id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
6,6,1'52.832,27.918,30.268,27.055,27.591,342.8,112.832,1,1,Francesco,Bagnaia
270,6,1'52.841,28.011,30.342,26.877,27.611,354,112.841,31,31,Pedro,Acosta
132,6,1'52.858,28.074,30.267,26.856,27.661,349.5,112.858,93,93,Marc,Marquez
111,6,1'52.922,27.743,30.363,27.153,27.663,348.3,112.922,89,89,Jorge,Martin
27,6,1'53.025,27.929,30.242,27.175,27.679,352.9,113.025,33,33,Brad,Binder
291,6,1'53.135,27.905,30.389,27.063,27.778,351.7,113.135,12,12,Maverick,Vinales
207,6,1'53.211,27.966,30.418,27.027,27.8,348.3,113.211,73,73,"Alex
",Marquez
249,6,1'53.306,27.981,30.573,27.062,27.69,350.6,113.306,41,41,Aleix,Espargaro
186,6,1'53.313,27.9,30.511,27.119,27.783,354,113.313,23,23,Enea ,Bastianini
228,6,1'53.467,27.888,30.544,27.221,27.814,350.6,113.467,49,49,Fabio,Di Giannantonio
354,6,1'53.491,27.99,30.435,27.193,27.873,352.9,113.491,36,36,Joan,Mir
417,6,1'53.610,28.274,30.456,27.066,27.814,333.3,113.61,42,42,Alex,Rins
312,6,1'53.661,28.01,30.52,27.25,27.881,349.5,113.661,20,20,Fabio,Quartararo
333,6,1'53.677,28.043,30.433,27.238,27.963,349.5,113.677,5,5,Johann,Zarco
396,6,1'53.858,27.956,30.592,27.388,27.922,351.7,113.858,88,88,Miguel,Oliveira
522,6,1'53.927,27.977,30.512,27.448,27.99,348.3,113.927,43,43,Jack,Miller
480,6,1'53.960,28.171,30.627,27.294,27.868,349.5,113.96,30,30,Takkaki,Nakagami
459,6,1'53.962,28.025,30.622,27.381,27.934,348.3,113.962,21,21,Franco,Morbidelli
543,6,1'53.966,28.059,30.605,27.225,28.077,352.9,113.966,25,25,Raul,Fernandez
438,6,1'54.230,28.097,30.679,27.481,27.973,342.8,114.23,37,37,Augusto,Fernandez
375,6,1'54.809,28.247,30.825,27.481,28.256,351.7,114.809,72,72,Marco,Bezzecchi
501,6,1'55.061,28.29,30.921,27.649,28.201,343.9,115.061,10,10,Luca,Marini
