id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
253,10,1'52.887,27.758,30.361,27.083,27.685,354,112.887,41,41,Aleix,Espargaro
115,10,1'52.898,27.724,30.3,27.14,27.734,354,112.898,89,89,Jorge,Martin
10,10,1'52.967,27.782,30.295,27.121,27.769,346.1,112.967,1,1,Francesco,Bagnaia
211,10,1'52.967,27.89,30.436,26.946,27.695,348.3,112.967,73,73,"Alex
",Marquez
31,10,1'53.038,28.024,30.384,27.03,27.6,348.3,113.038,33,33,Brad,Binder
190,10,1'53.073,27.864,30.46,27.079,27.67,354,113.073,23,23,Enea ,Bastianini
295,10,1'53.102,27.913,30.332,27.083,27.774,347.2,113.102,12,12,Maverick,Vinales
136,10,1'53.104,27.974,30.408,26.92,27.802,355.2,113.104,93,93,Marc,Marquez
232,10,1'53.172,27.831,30.404,27.118,27.819,354,113.172,49,49,Fabio,Di Giannantonio
274,10,1'53.175,28.229,30.241,26.91,27.795,351.7,113.175,31,31,Pedro,Acosta
442,10,1'53.541,28.006,30.491,27.131,27.913,354,113.541,37,37,Augusto,Fernandez
379,10,1'53.546,27.9,30.52,27.163,27.963,355.2,113.546,72,72,Marco,Bezzecchi
421,10,1'53.552,27.941,30.545,27.21,27.856,349.5,113.552,42,42,Alex,Rins
316,10,1'53.595,27.96,30.474,27.31,27.851,349.5,113.595,20,20,Fabio,Quartararo
358,10,1'53.700,28.009,30.489,27.279,27.923,350.6,113.7,36,36,Joan,Mir
400,10,1'53.710,27.95,30.514,27.332,27.914,351.7,113.71,88,88,Miguel,Oliveira
337,10,1'53.758,27.931,30.533,27.303,27.991,348.3,113.758,5,5,Johann,Zarco
463,10,1'53.839,27.972,30.576,27.337,27.954,350.6,113.839,21,21,Franco,Morbidelli
547,10,1'53.845,28.082,30.574,27.165,28.024,352.9,113.845,25,25,Raul,Fernandez
484,10,1'53.892,27.968,30.663,27.356,27.905,349.5,113.892,30,30,Takkaki,Nakagami
526,10,1'54.421,28.103,30.685,27.523,28.11,351.7,114.421,43,43,Jack,Miller
505,10,1'54.685,28.345,30.748,27.552,28.04,340.6,114.685,10,10,Luca,Marini
