id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
267,3,1'52.921,27.739,30.579,26.934,27.669,349.5,112.921,31,31,Pedro,Acosta
204,3,1'53.096,27.949,30.366,26.922,27.859,346.1,113.096,73,73,"Alex
",Marquez
129,3,1'53.148,27.943,30.404,26.998,27.803,354,113.148,93,93,Marc,Marquez
3,3,1'53.170,28.027,30.247,27.142,27.754,340.6,113.17,1,1,Francesco,Bagnaia
225,3,1'53.212,27.944,30.492,27.008,27.768,345,113.212,49,49,Fabio,Di Giannantonio
414,3,1'53.270,28.029,30.355,27.134,27.752,345,113.27,42,42,Alex,Rins
108,3,1'53.290,28.005,30.389,27.075,27.821,349.5,113.29,89,89,Jorge,Martin
24,3,1'53.290,28.101,30.31,27.161,27.718,351.7,113.29,33,33,Brad,Binder
246,3,1'53.296,27.971,30.643,27.05,27.632,355.2,113.296,41,41,Aleix,Espargaro
351,3,1'53.457,28.041,30.381,27.15,27.885,352.9,113.457,36,36,Joan,Mir
183,3,1'53.481,27.924,30.646,27.08,27.831,350.6,113.481,23,23,Enea ,Bastianini
309,3,1'53.522,27.943,30.536,27.186,27.857,349.5,113.522,20,20,Fabio,Quartararo
330,3,1'53.531,27.885,30.409,27.222,28.015,350.6,113.531,5,5,Johann,Zarco
372,3,1'53.539,27.837,30.496,27.186,28.02,356.4,113.539,72,72,Marco,Bezzecchi
435,3,1'53.623,27.999,30.701,27.124,27.799,348.3,113.623,37,37,Augusto,Fernandez
540,3,1'53.675,28.136,30.493,27.115,27.931,349.5,113.675,25,25,Raul,Fernandez
393,3,1'53.690,27.946,30.472,27.338,27.934,348.3,113.69,88,88,Miguel,Oliveira
456,3,1'53.695,27.954,30.419,27.319,28.003,351.7,113.695,21,21,Franco,Morbidelli
477,3,1'53.993,28.126,30.522,27.41,27.935,350.6,113.993,30,30,Takkaki,Nakagami
519,3,1'54.284,28.095,30.609,27.526,28.054,347.2,114.284,43,43,Jack,Miller
288,3,1'54.316,28.822,30.381,27.138,27.975,352.9,114.316,12,12,Maverick,Vinales
498,3,1'55.591,28.399,31.277,27.731,28.184,349.5,115.591,10,10,Luca,Marini
