id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
34,13,1'52.915,27.795,30.273,27.073,27.774,351.7,112.915,33,33,Brad,Binder
277,13,1'52.969,27.865,30.331,26.967,27.806,356.4,112.969,31,31,Pedro,Acosta
118,13,1'53.068,27.736,30.337,27.203,27.792,351.7,113.068,89,89,Jorge,Martin
139,13,1'53.086,28.087,30.345,26.948,27.706,355.2,113.086,93,93,Marc,Marquez
298,13,1'53.093,27.942,30.314,27.007,27.83,349.5,113.093,12,12,Maverick,Vinales
13,13,1'53.163,27.91,30.429,27.119,27.705,346.1,113.163,1,1,Francesco,Bagnaia
256,13,1'53.202,27.904,30.534,27.086,27.678,355.2,113.202,41,41,Aleix,Espargaro
235,13,1'53.206,27.831,30.437,27.159,27.779,352.9,113.206,49,49,Fabio,Di Giannantonio
214,13,1'53.235,27.872,30.441,27.152,27.77,349.5,113.235,73,73,"Alex
",Marquez
193,13,1'53.266,27.885,30.535,27.095,27.751,355.2,113.266,23,23,Enea ,Bastianini
382,13,1'53.546,27.933,30.472,27.229,27.912,354,113.546,72,72,Marco,Bezzecchi
445,13,1'53.606,27.95,30.578,27.189,27.889,354,113.606,37,37,Augusto,Fernandez
466,13,1'53.643,27.938,30.586,27.266,27.853,348.3,113.643,21,21,Franco,Morbidelli
340,13,1'53.662,28.016,30.526,27.222,27.898,352.9,113.662,5,5,Johann,Zarco
424,13,1'53.671,28.016,30.544,27.145,27.966,350.6,113.671,42,42,Alex,Rins
361,13,1'53.755,28.037,30.507,27.369,27.842,350.6,113.755,36,36,Joan,Mir
319,13,1'53.794,28.035,30.496,27.399,27.864,347.2,113.794,20,20,Fabio,Quartararo
403,13,1'53.803,27.864,30.61,27.377,27.952,352.9,113.803,88,88,Miguel,Oliveira
487,13,1'54.015,28.098,30.627,27.363,27.927,348.3,114.015,30,30,Takkaki,Nakagami
550,13,1'54.338,28.004,30.798,27.301,28.235,352.9,114.338,25,25,Raul,Fernandez
508,13,1'54.726,28.123,30.926,27.552,28.125,347.2,114.726,10,10,Luca,Marini
529,13,1'54.744,28.07,31.023,27.557,28.094,348.3,114.744,43,43,Jack,Miller
