id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
391,1,1'58.201,30.601,31.799,27.747,28.054,221.3,118.201,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
392,2,1'53.840,28.206,30.445,27.334,27.855,349.5,113.84,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
393,3,1'53.690,27.946,30.472,27.338,27.934,348.3,113.69,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
394,4,1'53.836,28.107,30.535,27.227,27.967,352.9,113.836,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
395,5,1'56.511,27.949,33.042,27.528,27.992,350.6,116.511,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
396,6,1'53.858,27.956,30.592,27.388,27.922,351.7,113.858,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
397,7,1'53.634,27.912,30.545,27.297,27.88,352.9,113.634,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
398,8,1'53.729,27.952,30.591,27.315,27.871,351.7,113.729,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
399,9,1'53.713,27.93,30.63,27.27,27.883,352.9,113.713,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
400,10,1'53.710,27.95,30.514,27.332,27.914,351.7,113.71,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
401,11,1'53.635,27.92,30.583,27.281,27.851,350.6,113.635,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
402,12,1'53.573,27.793,30.587,27.327,27.866,352.9,113.573,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
403,13,1'53.803,27.864,30.61,27.377,27.952,352.9,113.803,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
404,14,1'53.990,27.98,30.623,27.414,27.973,354,113.99,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
405,15,1'53.714,27.868,30.585,27.295,27.966,354,113.714,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
406,16,1'53.401,27.797,30.536,27.227,27.841,351.7,113.401,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
407,17,1'53.749,27.826,30.662,27.328,27.933,352.9,113.749,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
408,18,1'53.834,27.989,30.629,27.385,27.831,351.7,113.834,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
409,19,1'53.811,27.909,30.504,27.333,28.065,352.9,113.811,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
410,20,1'53.571,27.871,30.514,27.282,27.904,350.6,113.571,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
411,21,1'53.783,27.929,30.506,27.406,27.942,351.7,113.783,88,88,Miguel,Oliveira,Pragal,38.66596,-9.17979,Trackhouse,Aprilia GP24
538,1,1'59.184,31.587,31.675,27.714,28.208,231.2,119.184,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
539,2,1'53.890,28.088,30.555,27.287,27.96,355.2,113.89,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
540,3,1'53.675,28.136,30.493,27.115,27.931,349.5,113.675,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
541,4,1'53.667,28.061,30.425,27.241,27.94,350.6,113.667,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
542,5,1'53.649,28.053,30.517,27.171,27.908,354,113.649,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
543,6,1'53.966,28.059,30.605,27.225,28.077,352.9,113.966,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
544,7,1'54.085,28.056,30.697,27.266,28.066,354,114.085,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
545,8,1'53.638,28.124,30.461,27.123,27.93,351.7,113.638,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
546,9,1'53.825,27.928,30.677,27.194,28.026,354,113.825,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
547,10,1'53.845,28.082,30.574,27.165,28.024,352.9,113.845,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
548,11,1'53.742,27.933,30.676,27.128,28.005,352.9,113.742,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
549,12,1'53.723,27.941,30.601,27.185,27.996,352.9,113.723,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
550,13,1'54.338,28.004,30.798,27.301,28.235,352.9,114.338,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
551,14,1'54.390,28.209,30.618,27.321,28.242,350.6,114.39,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
552,15,1'54.453,28.287,30.781,27.217,28.168,351.7,114.453,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
553,16,1'56.032,28.282,31.467,27.829,28.454,352.9,116.032,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
554,17,2'10.931,29.268,32.904,28.523,40.236,350.6,130.931,25,25,Raul,Fernandez,Madrid,40.4167,-3.70358,Trackhouse,Aprilia GP23
