id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
12,12,1'52.871,27.839,30.268,27.102,27.662,347.2,112.871,1,1,Francesco,Bagnaia
33,12,1'52.960,27.834,30.237,27.179,27.71,349.5,112.96,33,33,Brad,Binder
276,12,1'52.980,27.778,30.421,26.998,27.783,356.4,112.98,31,31,Pedro,Acosta
297,12,1'53.078,27.855,30.414,27.031,27.778,348.3,113.078,12,12,Maverick,Vinales
213,12,1'53.132,27.91,30.357,27.058,27.807,348.3,113.132,73,73,"Alex
",Marquez
192,12,1'53.139,27.849,30.463,27.094,27.733,356.4,113.139,23,23,Enea ,Bastianini
117,12,1'53.182,27.8,30.371,27.17,27.841,352.9,113.182,89,89,Jorge,Martin
234,12,1'53.328,27.968,30.403,27.137,27.82,351.7,113.328,49,49,Fabio,Di Giannantonio
255,12,1'53.333,27.825,30.468,27.178,27.862,356.4,113.333,41,41,Aleix,Espargaro
138,12,1'53.385,27.989,30.506,27.083,27.807,351.7,113.385,93,93,Marc,Marquez
402,12,1'53.573,27.793,30.587,27.327,27.866,352.9,113.573,88,88,Miguel,Oliveira
444,12,1'53.584,27.973,30.472,27.181,27.958,351.7,113.584,37,37,Augusto,Fernandez
381,12,1'53.590,27.953,30.444,27.209,27.984,354,113.59,72,72,Marco,Bezzecchi
339,12,1'53.601,27.94,30.526,27.243,27.892,349.5,113.601,5,5,Johann,Zarco
423,12,1'53.678,27.952,30.576,27.231,27.919,351.7,113.678,42,42,Alex,Rins
549,12,1'53.723,27.941,30.601,27.185,27.996,352.9,113.723,25,25,Raul,Fernandez
360,12,1'53.783,27.966,30.549,27.362,27.906,351.7,113.783,36,36,Joan,Mir
318,12,1'53.844,28.023,30.557,27.373,27.891,348.3,113.844,20,20,Fabio,Quartararo
486,12,1'54.016,28.02,30.706,27.394,27.896,349.5,114.016,30,30,Takkaki,Nakagami
465,12,1'54.201,28.253,30.596,27.341,28.011,349.5,114.201,21,21,Franco,Morbidelli
528,12,1'54.611,28.072,30.739,27.666,28.134,348.3,114.611,43,43,Jack,Miller
507,12,1'54.668,28.147,30.77,27.579,28.172,350.6,114.668,10,10,Luca,Marini
