id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
201,21,1'53.127,27.817,30.385,27.124,27.801,350.6,113.127,23,23,Enea ,Bastianini
42,21,1'53.146,27.85,30.358,27.102,27.836,349.5,113.146,33,33,Brad,Binder
21,21,1'53.327,27.875,30.35,27.268,27.834,346.1,113.327,1,1,Francesco,Bagnaia
126,21,1'53.515,27.85,30.544,27.202,27.919,351.7,113.515,89,89,Jorge,Martin
348,21,1'53.516,27.962,30.465,27.251,27.838,350.6,113.516,5,5,Johann,Zarco
327,21,1'53.536,27.983,30.376,27.309,27.868,346.1,113.536,20,20,Fabio,Quartararo
411,21,1'53.783,27.929,30.506,27.406,27.942,351.7,113.783,88,88,Miguel,Oliveira
495,21,1'53.953,28.071,30.631,27.402,27.849,347.2,113.953,30,30,Takkaki,Nakagami
147,21,1'53.953,28.068,30.612,27.271,28.002,351.7,113.953,93,93,Marc,Marquez
369,21,1'53.956,28.148,30.611,27.231,27.966,349.5,113.956,36,36,Joan,Mir
390,21,1'53.997,27.908,30.614,27.347,28.128,352.9,113.997,72,72,Marco,Bezzecchi
222,21,1'54.035,28.114,30.654,27.258,28.009,347.2,114.035,73,73,"Alex
",Marquez
243,21,1'54.074,28.1,30.696,27.324,27.954,348.3,114.074,49,49,Fabio,Di Giannantonio
474,21,1'54.169,27.986,30.891,27.314,27.978,349.5,114.169,21,21,Franco,Morbidelli
264,21,1'54.818,28.539,30.761,27.45,28.068,348.3,114.818,41,41,Aleix,Espargaro
306,21,1'54.851,28.191,30.782,27.526,28.352,337.5,114.851,12,12,Maverick,Vinales
285,21,1'54.947,28.402,30.975,27.392,28.178,354,114.947,31,31,Pedro,Acosta
516,21,1'55.155,28.264,30.665,27.695,28.531,341.7,115.155,10,10,Luca,Marini
537,21,1'55.236,28.186,30.826,27.489,28.735,350.6,115.236,43,43,Jack,Miller
432,21,1'55.345,28.187,30.893,27.514,28.751,351.7,115.345,42,42,Alex,Rins
453,21,1'55.457,28.493,30.824,27.539,28.601,348.3,115.457,37,37,Augusto,Fernandez
