id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
125,20,1'52.742,27.656,30.326,27.062,27.698,351.7,112.742,89,89,Jorge,Martin
20,20,1'53.153,27.852,30.309,27.191,27.801,346.1,113.153,1,1,Francesco,Bagnaia
146,20,1'53.420,27.866,30.51,27.155,27.889,350.6,113.42,93,93,Marc,Marquez
200,20,1'53.448,28.011,30.578,27.212,27.647,355.2,113.448,23,23,Enea ,Bastianini
41,20,1'53.559,27.944,30.428,27.258,27.929,350.6,113.559,33,33,Brad,Binder
410,20,1'53.571,27.871,30.514,27.282,27.904,350.6,113.571,88,88,Miguel,Oliveira
242,20,1'53.585,28.141,30.486,27.126,27.832,348.3,113.585,49,49,Fabio,Di Giannantonio
326,20,1'53.607,28.003,30.364,27.384,27.856,347.2,113.607,20,20,Fabio,Quartararo
347,20,1'53.778,28.085,30.512,27.317,27.864,346.1,113.778,5,5,Johann,Zarco
389,20,1'53.874,27.955,30.597,27.34,27.982,354,113.874,72,72,Marco,Bezzecchi
368,20,1'53.962,28.165,30.531,27.27,27.996,342.8,113.962,36,36,Joan,Mir
473,20,1'54.063,28.045,30.698,27.375,27.945,349.5,114.063,21,21,Franco,Morbidelli
494,20,1'54.081,28.097,30.645,27.47,27.869,347.2,114.081,30,30,Takkaki,Nakagami
305,20,1'54.311,28.088,30.762,27.412,28.049,346.1,114.311,12,12,Maverick,Vinales
221,20,1'54.314,28.249,30.881,27.236,27.948,347.2,114.314,73,73,"Alex
",Marquez
263,20,1'54.399,28.256,30.681,27.398,28.064,351.7,114.399,41,41,Aleix,Espargaro
536,20,1'54.645,28.082,30.795,27.577,28.191,349.5,114.645,43,43,Jack,Miller
452,20,1'54.805,28.162,30.631,27.348,28.664,350.6,114.805,37,37,Augusto,Fernandez
284,20,1'54.828,28.409,31.039,27.334,28.046,348.3,114.828,31,31,Pedro,Acosta
515,20,1'54.866,28.2,30.814,27.737,28.115,340.6,114.866,10,10,Luca,Marini
431,20,1'55.433,28.248,30.83,27.462,28.893,345,115.433,42,42,Alex,Rins
