Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'57.299,30.389,31.822,27.288,27.8,213.8,117.299,12
2,1'53.485,27.995,30.602,27.173,27.715,350.6,113.485,12
3,1'54.316,28.822,30.381,27.138,27.975,352.9,114.316,12
4,1'53.607,28.182,30.469,27.081,27.875,356.4,113.607,12
5,1'53.284,28.006,30.397,27.03,27.851,351.7,113.284,12
6,1'53.135,27.905,30.389,27.063,27.778,351.7,113.135,12
7,1'53.774,27.961,30.581,27.452,27.78,347.2,113.774,12
8,1'53.056,27.91,30.334,27.054,27.758,345,113.056,12
9,1'53.054,27.94,30.314,27.004,27.796,348.3,113.054,12
10,1'53.102,27.913,30.332,27.083,27.774,347.2,113.102,12
11,1'52.932,27.939,30.249,27.004,27.74,347.2,112.932,12
12,1'53.078,27.855,30.414,27.031,27.778,348.3,113.078,12
13,1'53.093,27.942,30.314,27.007,27.83,349.5,113.093,12
14,1'53.231,28.003,30.412,27.055,27.761,348.3,113.231,12
15,1'53.362,27.969,30.389,27.129,27.875,348.3,113.362,12
16,1'53.274,27.867,30.477,27.116,27.814,349.5,113.274,12
17,1'53.824,27.935,30.816,27.104,27.969,349.5,113.824,12
18,1'54.074,28.142,30.694,27.294,27.944,348.3,114.074,12
19,1'53.924,27.997,30.687,27.294,27.946,347.2,113.924,12
20,1'54.311,28.088,30.762,27.412,28.049,346.1,114.311,12
21,1'54.851,28.191,30.782,27.526,28.352,337.5,114.851,12
