id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
307,1,1'57.268,30.798,31.045,27.445,27.98,218.1,117.268,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
308,2,1'53.468,27.985,30.55,27.182,27.751,355.2,113.468,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
309,3,1'53.522,27.943,30.536,27.186,27.857,349.5,113.522,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
310,4,1'53.581,27.998,30.496,27.215,27.872,351.7,113.581,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
311,5,1'53.539,27.895,30.47,27.265,27.909,350.6,113.539,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
312,6,1'53.661,28.01,30.52,27.25,27.881,349.5,113.661,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
313,7,1'53.792,27.999,30.512,27.45,27.831,346.1,113.792,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
314,8,1'54.010,28.315,30.569,27.233,27.893,333.3,114.01,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
315,9,1'53.520,27.924,30.469,27.27,27.857,349.5,113.52,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
316,10,1'53.595,27.96,30.474,27.31,27.851,349.5,113.595,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
317,11,1'53.915,27.981,30.546,27.357,28.031,349.5,113.915,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
318,12,1'53.844,28.023,30.557,27.373,27.891,348.3,113.844,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
319,13,1'53.794,28.035,30.496,27.399,27.864,347.2,113.794,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
320,14,1'53.751,28.028,30.493,27.356,27.874,347.2,113.751,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
321,15,1'54.097,27.967,30.501,27.69,27.939,348.3,114.097,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
322,16,1'54.087,28.115,30.505,27.466,28.001,351.7,114.087,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
323,17,1'53.976,28.095,30.542,27.459,27.88,349.5,113.976,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
324,18,1'53.992,28.158,30.516,27.384,27.934,351.7,113.992,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
325,19,1'54.015,28.107,30.589,27.393,27.926,348.3,114.015,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
326,20,1'53.607,28.003,30.364,27.384,27.856,347.2,113.607,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
327,21,1'53.536,27.983,30.376,27.309,27.868,346.1,113.536,20,20,Fabio,Quartararo,Nice,43.70094,7.26839,Yamaha,YZR-M1
412,1,1'58.579,31.405,31.439,27.684,28.051,226.8,118.579,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
413,2,1'53.996,28.364,30.717,27.144,27.771,351.7,113.996,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
414,3,1'53.270,28.029,30.355,27.134,27.752,345,113.27,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
415,4,1'53.837,28.183,30.536,27.196,27.922,342.8,113.837,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
416,5,1'53.455,28.097,30.471,27.053,27.834,348.3,113.455,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
417,6,1'53.610,28.274,30.456,27.066,27.814,333.3,113.61,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
418,7,1'53.577,28.069,30.5,27.195,27.813,350.6,113.577,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
419,8,1'53.743,28.083,30.49,27.192,27.978,352.9,113.743,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
420,9,1'53.528,28.016,30.501,27.193,27.818,350.6,113.528,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
421,10,1'53.552,27.941,30.545,27.21,27.856,349.5,113.552,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
422,11,1'53.598,27.951,30.53,27.176,27.941,352.9,113.598,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
423,12,1'53.678,27.952,30.576,27.231,27.919,351.7,113.678,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
424,13,1'53.671,28.016,30.544,27.145,27.966,350.6,113.671,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
425,14,1'53.799,27.974,30.593,27.198,28.034,354,113.799,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
426,15,1'53.776,27.993,30.553,27.291,27.939,351.7,113.776,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
427,16,1'54.043,28.098,30.737,27.271,27.937,350.6,114.043,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
428,17,1'54.233,28.066,30.759,27.416,27.992,350.6,114.233,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
429,18,1'55.268,27.961,31.009,27.45,28.848,354,115.268,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
430,19,1'54.971,28.23,30.974,27.556,28.211,347.2,114.971,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
431,20,1'55.433,28.248,30.83,27.462,28.893,345,115.433,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
432,21,1'55.345,28.187,30.893,27.514,28.751,351.7,115.345,42,42,Alex,Rins,Barcelona,41.38289,2.17743,Yamaha,YZR-M1
