Lap,Lap,T1,T2,T3,T4,Speed,Lap_seconds,driver_num
1,1'57.874,31.048,31.261,27.621,27.944,215.1,117.874,5
2,1'53.661,28.025,30.442,27.283,27.911,349.5,113.661,5
3,1'53.531,27.885,30.409,27.222,28.015,350.6,113.531,5
4,1'53.910,28.013,30.446,27.223,28.228,348.3,113.91,5
5,1'53.736,28.062,30.454,27.34,27.88,349.5,113.736,5
6,1'53.677,28.043,30.433,27.238,27.963,349.5,113.677,5
7,1'53.839,28.091,30.576,27.313,27.859,347.2,113.839,5
8,1'53.713,28.073,30.39,27.202,28.048,341.7,113.713,5
9,1'53.410,27.947,30.413,27.206,27.844,348.3,113.41,5
10,1'53.758,27.931,30.533,27.303,27.991,348.3,113.758,5
11,1'53.885,28.131,30.564,27.251,27.939,332.3,113.885,5
12,1'53.601,27.94,30.526,27.243,27.892,349.5,113.601,5
13,1'53.662,28.016,30.526,27.222,27.898,352.9,113.662,5
14,1'53.859,28.054,30.575,27.25,27.98,350.6,113.859,5
15,1'53.876,28.011,30.556,27.251,28.058,350.6,113.876,5
16,1'53.913,27.966,30.675,27.305,27.967,349.5,113.913,5
17,1'54.171,28.01,30.71,27.428,28.023,351.7,114.171,5
18,1'53.807,27.994,30.563,27.398,27.852,351.7,113.807,5
19,1'53.767,27.963,30.525,27.312,27.967,350.6,113.767,5
20,1'53.778,28.085,30.512,27.317,27.864,346.1,113.778,5
21,1'53.516,27.962,30.465,27.251,27.838,350.6,113.516,5
