"num","first_name","last_name","<113","113<113.5","113.5<114","114<114.5","114.5<115","115<115.5",">115.5"
73,"Alex
","Marquez","5","12","1","2","0","0","1"
93,"Marc","Marquez","7","12","1","0","0","1","0"
89,"Jorge","Martin","6","13","1","0","0","1","0"
42,"Alex","Rins","0","2","12","2","1","3","1"
25,"Raul","Fernandez","0","0","10","4","0","0","3"
36,"Joan","Mir","0","2","15","3","0","0","1"
31,"Pedro","Acosta","8","4","3","3","2","0","1"
88,"Miguel","Oliveira","0","1","18","0","0","0","2"
30,"Takkaki","Nakagami","0","0","8","11","1","0","1"
21,"Franco","Morbidelli","0","0","10","8","2","0","1"
41,"Aleix","Espargaro","2","12","3","2","1","0","1"
49,"Fabio","Di Giannantonio","1","13","5","1","0","0","1"
43,"Jack","Miller","0","0","1","10","6","2","2"
37,"Augusto","Fernandez","0","1","10","6","2","1","1"
20,"Fabio","Quartararo","0","1","15","4","0","0","1"
10,"Luca","Marini","0","0","0","4","8","6","3"
33,"Brad","Binder","8","11","1","0","0","1","0"
1,"Francesco","Bagnaia","10","10","0","0","1","0","0"
5,"Johann","Zarco","0","1","18","1","0","0","1"
12,"Maverick","Vinales","1","11","4","3","1","0","1"
72,"Marco","Bezzecchi","0","2","14","3","1","0","1"
23,"Enea ","Bastianini","2","18","0","0","0","0","1"
